"planet","house","ruler","ruler_house","bg","en"
"mercury","1","sun","3","Хората ви запомнят по езика — как питате, как разказвате, как влизате в приказка. А кой сте всъщност, се решава в дребните всекидневни разговори: с брат, със съседа, в писмото, което пишете днес. Останете ли без кого да заговорите, губите и себе си.","People remember you by your tongue — how you ask, how you tell a story, how you strike up a conversation. Who you actually are gets decided in the small daily exchanges: with a brother, with a neighbour, in the letter you write today. With nobody to talk to, you start losing yourself."
"mercury","1","sun","11","Умът ви е бърз и се вижда веднага — заговаряте и вече сте се представили. Но да ви признаят, става сред своите: в компанията, в сдружението, при хората, които са ви приели. Затова изборът на кръг ви решава повече, отколкото ви се струва.","Your mind is quick and it shows at once — you open your mouth and you have already introduced yourself. But being recognised happens among your own: in the crowd, in the club, with the people who took you in. That is why choosing your circle decides more for you than you think."
"mercury","1","venus","5","Заговаряте леко и веднага ви става приятно с хората. Каквото сте, се вижда най-добре, докато се забавлявате — на игра, във флирт, край дете. Свършете ли с удоволствието, и обаянието ви угасва.","You strike up a conversation easily and people warm to you at once. What you are shows best while you are enjoying yourself — in a game, in a flirt, beside a child. Take the pleasure out and the charm goes out with it."
"mercury","1","venus","6","Приятни сте в приказка и хората ви приемат бързо. Но да ви харесат истински, става с вършене: свършената задача, точното време, чистата работа. Тук чарът се доказва в делника.","You are pleasant to talk to and people accept you quickly. Being genuinely liked comes through doing, though: the finished task, the kept time, the clean job. Charm here has to prove itself on an ordinary weekday."
"mercury","1","venus","8","Говорите открито, а нещо у вас остава недоизказано и точно то привлича. Харесват ви заради дълбокото, не заради леката приказка. Само внимавайте: тук симпатията бързо се превръща в сметка.","You speak openly, yet something in you stays unsaid, and that is exactly the draw. People are taken with the depth in you, not with the light talk. Just be careful: fondness here turns into an account fast."
"mercury","1","venus","9","Заговаряте всекиго и това ви е дарбата. Но приемат ви най-топло далеч от дома: в друг град, на друг език, сред хора с други навици. Затова тръгвайте, вместо да чакате да ви оценят тук.","You will talk to anybody and that is your gift. The warmest welcome comes far from home, though: another town, another language, people with other habits. So set off rather than waiting to be appreciated here."
"mercury","2","sun","4","Смятате наум, преговаряте и знаете какво колко струва. Само че къде отиват парите се решава вкъщи — за имота, за своите, за покрива. Работите за нещо, което да остане на едно място.","You count in your head, you haggle and you know what a thing is worth. Where the money goes, though, gets decided at home — on the property, on your own people, on the roof. You are working for something that will stay in one place."
"mercury","2","sun","12","Приказката ви за пари е точна и рядко се лъжете в сметка. Но истинското печелене става тихо — насаме, без обяви и понякога без свидетели. Не се насилвайте да го показвате: печели ви точно това, че не се вижда.","You talk about money precisely and you rarely miscount. The real earning, though, happens quietly — on your own, unannounced, sometimes with no witnesses. Do not force yourself to display it: not being seen is what pays you."
"mercury","2","venus","6","Смятате бързо и обичате да знаете какво влиза и какво излиза. Парите ви обаче идват от делничното вършене — от занаята, от редовната смяна, от свършеното без шум. Търсете спокойна работа, не голяма сделка.","You count fast and you like knowing what comes in and what goes out. Your money comes from ordinary doing, though — from a craft, a regular shift, work finished without noise. Look for a calm job rather than a big deal."
"mercury","2","venus","7","Говорите за пари спокойно и умеете да се пазарите, без да обиждате. Само че сумата се определя от другата страна на масата: съпруг, съдружник, клиент. Уговорете я на глас, докато още сте в добро настроение.","You talk about money calmly and you can bargain without giving offence. The figure is set on the other side of the table, though: a spouse, an associate, a client. Agree it out loud while you are all still in a good mood."
"mercury","2","venus","9","Знаете си сметките и не се стеснявате да питате за цена. Хубавото плащане обаче идва отдалеч — от чужд клиент, от език, от нещо доучено. Вложете в учене и ще си го върнете в пари.","You keep your accounts straight and you are not shy about asking a price. The good money comes from a distance, though — a foreign client, a language, something you finished learning. Put it into study and it comes back as cash."
"mercury","2","venus","10","Умеете да представите цената така, че да звучи почтено. Печалбата ви обаче зависи от името: препоръчат ли ви, плащат без пазарене. Затова пазете доброто си име по-грижливо от парите.","You can put a price in a way that sounds fair. Your earnings depend on your name, though: once you are recommended, people pay without haggling. So guard the name more carefully than the money."
"mercury","3","sun","1","Живеете от разговори — питате, свързвате, разнасяте новината от единия до другия. Само че никой няма да го свърши вместо вас: каквото не сте казали лично, не се е случило. Затова и брат, съсед или колега търсят точно вас.","You live on conversations — asking, connecting, carrying the news from one person to the next. Nobody will do it in your place, though: whatever you did not say yourself never happened. That is why a brother, a neighbour or a colleague comes looking for you in particular."
"mercury","3","sun","5","Разказвате леко и много — по телефона, на пътя, между две задачи. Но приказката ви оживява само когато има кой да ѝ се радва: дете, влюбен човек, публика от трима души. Без това удоволствие тя бързо се изтощава.","You tell a lot and tell it easily — on the phone, on the road, between two errands. Your talk only comes alive when somebody enjoys it: a child, someone in love with you, an audience of three. Without that pleasure it wears itself out fast."
"mercury","3","venus","7","Приказвате всеки ден с много хора и това ви държи в тон. Но добрият разговор е онзи с един човек — партньор, съдружник, най-близкият съсед. Тук един истински събеседник струва повече от двайсет познати.","You talk to a lot of people every day and it keeps you in good spirits. The conversation that counts, though, is with one person — a partner, an associate, the closest neighbour. One real listener here is worth twenty acquaintances."
"mercury","3","venus","8","Разказвате леко и с всекиго си намирате тема. Само че нещата, за които наистина ви е приятно да говорите, не са за пред всички: пари, близост, стари семейни истории. Изберете си един-двама и им казвайте истината.","You tell things easily and find a subject with anybody. The things you actually enjoy talking about are not for general company, though: money, closeness, old family stories. Pick one or two people and tell them the truth."
"mercury","3","venus","10","Езикът ви е лек и с него си оправяте деня — питате и ви отговарят. Истинската полза обаче е в службата: с добра дума си отваряте път, печелите клиент, издигате се. Не го харчете само по коридорите.","Your tongue is light and it sorts out your day — you ask and you get an answer. The real use of it is at work, though: a good word opens a path, wins a client, moves you up. Do not spend it all in the corridors."
"mercury","3","venus","11","Обичате да сте в течение и рядко пропускате новина. Хубавото от това идва през компанията: някой ви споменава, някой ви свързва, някой ви кани. Поддържайте връзките, дори когато няма повод.","You like being in the know and you rarely miss a piece of news. The good of it comes through the crowd: somebody mentions you, somebody puts you in touch, somebody invites you. Keep the connections warm even when there is no occasion."
"mercury","4","sun","2","Вкъщи вие сте човекът с документите — кой какво дължи, къде е хартията, какво пише в нея. А домашният въпрос винаги излиза паричен: ремонт, сметка, дял. Уредите ли парите, утихва и приказката.","At home you are the one with the paperwork — who owes what, where the document is, what it actually says. The household question always turns out to be a money question: a repair, a bill, a share. Settle the money and the talking dies down."
"mercury","4","sun","6","Мислите за дома си на глас и все имате какво да се уреди в него. Но той се държи от всекидневната работа — кой пере, кой плаща, кой води детето. Гордостта ви е в това, че всичко върви, а не в това, че се вижда.","You think about your home out loud and there is always something in it to sort out. What holds it up, though, is the daily work — who does the washing, who pays, who takes the child. Your pride is in the fact that it all runs, not in the fact that it shows."
"mercury","4","venus","8","Вкъщи вие говорите за парите и хартиите и обикновено сте прави. Спокойствието под покрива обаче зависи от чужди пари: наследство, заем, нечий дял. Уредете го с подписи, а не с обещания на масата.","At home you are the one who talks about money and papers, and you are usually right. The peace under the roof depends on money that is not yours, though: an inheritance, a loan, somebody's share. Settle it with signatures rather than with promises over dinner."
"mercury","4","venus","9","Разказвате за своите и обичате да знаете откъде идва родът ви. Но мястото, където ви е добре, е някъде по-нататък: друг град, друга страна, къща, която сами сте избрали. Тръгването тук не е бягство.","You talk about your family and you like knowing where you come from. The place where you are actually comfortable is somewhere further on, though: another town, another country, a house you chose yourself. Leaving here is not running away."
"mercury","4","venus","11","Вкъщи ви е приятно, когато има хора и приказка. Затова и жилището ви се пълни с приятели повече, отколкото с роднини. Тук помощта за къщата идва от познати, не по кръв.","It feels good at your place when there are people in it and something to talk about. That is why it fills up with friends rather than relatives. Help with the house here comes from acquaintances, not from blood."
"mercury","4","venus","12","Обичате да си говорите вкъщи, но най-нужна ви е тихата стая. Мирът под покрива се държи от това, което не изричате: премълчаното, оставеното на мира, недоизяснената стара история. Не всичко трябва да се извади на масата.","You like talking at home, but what you need most is a quiet room. The peace under the roof rests on what you do not say: the thing left unsaid, the thing left alone, the old story never fully explained. Not everything has to come to the table."
"mercury","5","sun","3","Играете с думите и от това ви идва удоволствието — шега, стих, флирт, добре разказана история. Излиза наяве в дребното всекидневие: в съобщенията, в разходката, в приказката със съседа. Пишете го, вместо да го въртите в главата си.","You play with words and that is where your pleasure comes from — a joke, a rhyme, a flirt, a story well told. It comes out in the small everyday: in the messages, on the walk, in the chat with a neighbour. Write it down instead of turning it over in your head."
"mercury","5","sun","7","Забавлявате се с приказка и предизвиквате отсрещния да отговори. Само че играта става истинска чак когато има с кого — сами не се получава. Изборът на партньор тук решава колко ще се смеете през живота си.","You entertain yourself with talk and dare the other person to answer back. The game only becomes real when there is somebody to play it with — on your own it does not work. Your choice of partner here decides how much you will laugh in this life."
"mercury","5","venus","1","Приказката ви е игра и хората влизат в нея с удоволствие. Но всичко зависи от вас самите: как изглеждате, как влизате, с какъв тон започвате. Тук усмивката ви върши повече от най-хубавата шега.","Your talk is a game and people join in gladly. It all rests on you, though: how you look, how you walk in, what tone you start with. Your smile does more here than the best joke."
"mercury","5","venus","9","Флиртувате с думи и обичате да разказвате хубаво. А удоволствието ви е в чуждото: далечен човек, нов език, история, която не сте чували. Влюбвате се в това, което ви учи нещо.","You flirt with words and you like telling a thing well. Your pleasure is in what is foreign, though: someone from far away, a new language, a story you had not heard. You fall for whatever teaches you something."
"mercury","5","venus","10","Умеете да разсмеете и да задържите вниманието. Това не е дребна дарба: тя ви е поставила на сцена, пред клиент или пред клас. Играйте с нея сериозно — от нея ви идва хлябът.","You know how to raise a laugh and hold attention. That is not a small gift: it has put you on a stage, in front of a client or in front of a class. Play with it seriously — it is what feeds you."
"mercury","5","venus","12","Шегувате се навън, а хубавото си го криете. Има влюбване, увлечение или писане, за които не разказвате на никого. Пазете си го, но не го оставяйте да остане само в тетрадката.","You joke in public and hide the good part. There is a love, a fascination or a piece of writing you tell nobody about. Keep it to yourself if you like, but do not let it stay only in the notebook."
"mercury","6","sun","4","Държите деня си на списък и обичате да знаете кое кога се прави. А за какво го правите, седи вкъщи — за своите, за покрива, за спокойствието под него. Разбърка ли се домът, разпада се и редът в работата.","You keep your day on a list and you like knowing what gets done when. What you do it for sits at home — for your people, for the roof, for the quiet under it. Once home goes to pieces, the order in your work goes with it."
"mercury","6","sun","8","Работите точно и с внимание към дребното, което другите пропускат. Но за какво се работи, се решава там, където се пипат чужди пари — дял, дълг, полица, споразумение. Гледайте числата сами, не ги приемайте на доверие.","You work precisely and notice the small things other people miss. What the work is for, though, gets decided where somebody else's money is handled — a share, a debt, a policy, a settlement. Check the numbers yourself; do not take them on trust."
"mercury","6","venus","1","Обичате да е подредено и знаете как се прави дребното. Приятното в работата обаче го внасяте вие: как влизате, как говорите, как изглежда бюрото ви. Няма ли вас, задачата се върши, но никой не се радва.","You like things in order and you know how the small stuff is done. What is pleasant about the job, though, is brought in by you: how you arrive, how you speak, how your desk looks. Without you the task still gets done, but nobody enjoys it."
"mercury","6","venus","2","Вършите точно и не се дразните от дребните задачи. Но правите го за пари, не за похвала — и това е честно. Заплатата тук се пазари, вместо да се чака.","You do things accurately and small tasks do not annoy you. You do them for money, not for praise, though, and that is honest. Pay here gets negotiated rather than waited for."
