"planet","house","ruler","ruler_house","bg","en"
"venus","1","mercury","5","Харесват ви и вие го знаете, но не се предлагате — чакате да ви заговорят. Каквото трябва да се уреди за вас, се урежда в игра: шега, репетиция, разговор с дете. Станете ли сериозни, чарът ви спира да работи.","People like you and you know it, but you do not push yourself forward — you wait to be spoken to. Whatever needs arranging for you gets arranged in play: a joke, a rehearsal, a conversation with a child. The moment you turn serious your charm stops working."
"venus","1","mercury","6","Приятният ви вид върши работа, но кой сте се разбира от свършеното. Хората ви преценяват по това дали сте изпратили листа навреме, не по усмивката. Дребната задача, довършена днес, ви носи повече уважение от цял приятен разговор.","Your pleasant look does its job, but who you are shows in what you finish. People judge you by whether the papers went out on time, not by the smile. One small task completed today earns you more respect than a whole pleasant conversation."
"venus","1","mercury","8","Изглеждате леко и открито, а важното за вас се решава в разговор, който никой друг не чува. Питат ви за пари, за дългове, за нещо чуждо и деликатно — и вие отговаряте точно. Който ви приема само за приятен, се лъже.","You look light and open, and what matters for you is decided in a conversation nobody else hears. You get asked about money, about debts, about something delicate that belongs to somebody else — and you answer precisely. Anyone who takes you for merely pleasant is mistaken."
"venus","1","mercury","9","Харесват ви бързо, а мястото ви се намира далеч от там, където сте започнали. Един език, един курс, един разговор с човек от друг град подреждат живота ви повече от външния вид. Стоите ли на едно място, започвате да се повтаряте.","People take to you quickly, and your place turns out to be far from where you started. A language, a course, one conversation with somebody from another city arrange your life more than your appearance does. Stay in one spot and you start repeating yourself."
"venus","2","mercury","6","Обичате да имате хубави неща и се радвате, като са платени докрай. Парите ви идват на малки порции — по задача, по смяна, по поръчка, свършена спретнато. Затова водете сметките си всяка седмица, а не всяка година.","You like owning good things and you enjoy them once they are fully paid for. Your money arrives in small portions — by the task, by the shift, by an order done neatly. So keep your accounts weekly, not yearly."
"venus","2","mercury","7","Хубавото си го избирате бавно и с усет за цената. Само че числото не го казвате вие — уговаря се с човека срещу вас, на четири очи. Дръжте се за писаното: приятният тон бързо се забравя, документът не.","You choose the good thing slowly and with a feel for the price. But you are not the one who names the figure — it gets agreed with the person across the table. Hold on to what is written: a pleasant tone is soon forgotten, a document is not."
"venus","2","mercury","9","Държите на своето и знаете какво струва всяко нещо в шкафа ви. Приходът обаче тръгва отдалеч — от друг град, от чужд език, от нещо, което сте научили сами. Каквото не сте видели с очите си, го проверявайте два пъти.","You hold on to what is yours and you know what everything in your cupboard cost. The income, though, starts far off — another city, another language, something you taught yourself. Whatever you have not seen with your own eyes, check twice."
"venus","2","mercury","10","Обичате да е платено и хубаво, без да го обяснявате на никого. Парите ви идват от името, което си правите на глас — от това как звучите там, където ви слушат. Пред човек, който може да ви наеме, не снишавайте глас за пари.","You like things paid for and pleasing, without having to explain it to anybody. Your money comes from the name you make out loud — from how you sound where people are listening. In front of somebody who could hire you, do not lower your voice about money."
"venus","3","mercury","7","Говорите леко с всекиго и точно това ви прави приятни в квартала. Но каквото има да се урежда, се урежда с един човек — насаме, с уговорка, а не пред всички. Изберете си този събеседник добре: чуждите думи после стават ваши.","You talk easily with anybody, and that is exactly what makes you liked around here. But whatever needs settling gets settled with one person — privately, by arrangement, not in front of everybody. Choose that person well: their words later become yours."
"venus","3","mercury","8","Приказката ви е мека и хората ви разказват неща, които не казват на други. Оправя се обаче онова, което се брои — стар дълг, чужда сметка, дума, дадена някому. Не разнасяйте наученото; тук мълчанието струва пари.","Your way of talking is gentle and people tell you things they tell nobody else. What actually gets fixed, though, is what gets counted — an old debt, somebody else's account, a promise made to a third party. Do not carry what you hear around; silence is worth money here."
"venus","3","mercury","10","Обичате да се разбирате с думи и рядко вдигате тон. Полза от това има там, където ви слушат чужди хора — на среща, пред началник, пред публика. Оправете си изречението предварително и после не се притеснявайте.","You like to come to terms in words and you rarely raise your voice. The benefit shows where strangers are listening — in a meeting, in front of a manager, in front of an audience. Get the sentence right beforehand and then stop worrying."
"venus","3","mercury","11","Лесно се разбирате с околните и това ви пази от много спорове. Работата обаче тръгва през компанията — един познат казва името ви на друг и готово. Затова поддържайте връзките, докато не ви трябват.","You get along with the people around you easily and it saves you a lot of arguing. Things move, though, through the crowd — one acquaintance says your name to another and that is that. So keep the connections warm while you do not need them."
"venus","4","mercury","8","Искате вкъщи да е тихо и хубаво и правите каквото трябва за това. Само че мястото зависи от книжа за пари, които не са само ваши — дял, заем, наследено. Извадете документите на масата рано и уютът ще дойде след тях.","You want it quiet and pleasing at home and you do what is needed for that. But the place depends on paperwork about money that is not only yours — a share, a loan, something inherited. Get the documents on the table early and the comfort follows them."
"venus","4","mercury","9","Обичате дома си да е мек и подреден, с малко хубави неща наоколо. Само че се решава далеч — с адрес в друг град, с чужди документи, с решение да учите или да тръгнете. Не купувайте мебели, преди да сте наясно къде ще живеете.","You like your home soft and orderly, with a few good things around. But it gets decided far off — an address in another city, foreign paperwork, a decision to study or to go. Do not buy furniture before you know where you will be living."
