"planet","house","ruler","ruler_house","bg","en"
"sun","2","jupiter","1","Вярвате, че ще имате, и обикновено се оказвате прави. Парите идват през самите вас — през смелостта да поискате и да се покажете. Затова и харчите широко, преди да е дошло.","You believe it will come and usually you turn out right. The money arrives through you: through the nerve to ask and to be seen. Which is why you spend widely before it has arrived."
"sun","2","jupiter","2","Има късмет с парите и вие го знаете. Идват по-лесно, отколкото на другите, и си отиват също така. Тук се учи мярка, не печелене.","There is luck with money here and you know it. It comes more easily than for others and leaves the same way. The lesson is restraint, not earning."
"sun","2","jupiter","3","Печелите с приказка, с познанства и с това, че обяснявате леко. Една дума на когото трябва ви струва повече от месец труд. Само внимавайте да не обещавате повече, отколкото ще свършите.","You earn by talk, by contacts and by explaining things easily. A word to the right person is worth more than a month of labour. Just watch the promises that outrun what you will actually do."
"sun","2","jupiter","4","Основата ви е у дома: имот, семейство, нещо наследено или изградено там. Оттам расте и сигурността ви. Помагате на своите повече, отколкото признавате.","Your base is at home: property, family, something inherited or built there. That is where the security grows from. You help your own more than you admit."
"sun","2","jupiter","5","Парите идват, когато правите нещо със страст, а не по задължение. Рискът ви носи, предпазливостта ви задушава. Само че същият апетит ви кара да залагате и когато не трябва.","The money comes when you do something with appetite rather than out of duty. Risk pays you; caution smothers you. That same appetite makes you stake it when you should not."
"sun","2","jupiter","6","Доходът ви расте от свършена работа и от полза, която хората виждат. Тук не се чака късмет — прави се, и после идва. Внимавайте само да не поемате повече задачи, отколкото един човек изкарва.","Your income grows out of finished work and visible usefulness. Nothing waits on luck here: you do it and then it comes. Just watch the habit of taking on more than one person can carry."
"sun","2","jupiter","7","Парите вървят през хора, с които се обвързвате. Прав партньор ви умножава, грешният ви изяжда наведнъж. Тук доверието е капитал и трябва да се харчи внимателно.","Money runs through the people you tie yourself to. The right partner multiplies you; the wrong one eats it in one go. Trust is capital here and should be spent carefully."
"sun","2","jupiter","8","Идват отвън: подкрепа, наследство, кредит, чужд бюджет. Имате нюх къде има ресурс и как да го задвижите. Само че дълговете тук растат също толкова лесно.","It arrives from outside: backing, an inheritance, credit, someone else's budget. You have a nose for where the resource is and how to move it. Debts grow just as easily here, though."
"sun","2","jupiter","9","Печелите отдалеч — чужбина, учене, преподаване, хора от друга среда. Колкото по-широко живеете, толкова по-широка е и сметката. Стоите ли в едно и също, доходът се стеснява с вас.","You earn from a distance — abroad, study, teaching, people from another world. The wider you live the wider the account. Stay in the same place and the income narrows with you."
"sun","2","jupiter","10","Името ви носи пари. Признанието идва по-лесно от при повечето и се превръща в доход почти само. Затова и отпускате хватката по-рано, отколкото е разумно.","Your name brings money. Recognition comes more easily than for most and turns into income almost by itself. Which is why you loosen your grip earlier than is wise."
"sun","2","jupiter","11","Кръгът ви е сметката ви. Приятели, групи, общи каузи ви носят възможности, за които сами не бихте се сетили. Тук се дава и се получава — не работи едностранно.","Your circle is your account. Friends, groups and shared causes bring openings you would not think of alone. Here you give as well as take; one-way does not work."
"sun","2","jupiter","12","Парите идват тихо и от неочаквано място. Помагат ви, без да сте молили, и често без да се разчува. Затова и вие давате скрито, понякога повече, отколкото можете.","The money arrives quietly and from an unexpected place. People help without your asking, often without it being spoken of. So you give in secret too, sometimes more than you can afford."
"sun","2","saturn","1","Всичко, което имате, сте го изкарали сами и то се вижда по държането ви. Нищо не е дошло даром, затова и не вярвате на лесното. Тук се строи бавно, но не пада.","Everything you have you earned yourself and it shows in how you carry yourself. Nothing arrived free, so you do not trust easy money. It builds slowly here and does not collapse."
"sun","2","saturn","2","Знаете цената на всяко нещо и не се шегувате с парите. Трупате бавно, отказвате си, и точно това ви прави устойчиви. Само че страхът от недостиг остава и когато вече има.","You know the price of everything and do not joke about money. You accumulate slowly, deny yourself, and that is exactly what makes you solid. The fear of scarcity stays even when there is plenty."
"sun","2","saturn","3","Парите вървят през договорено и написано, не през приказка. Обещаете ли, го изпълнявате, и хората го знаят. Тук се печели от точност, а не от чар.","Money runs through what is agreed and written, not through talk. When you promise you deliver, and people know it. Precision earns here, not charm."
"sun","2","saturn","4","Основата е у дома и е носена с усилие. Може да е имало недоимък или прекалено рано поета отговорност. Затова сега строите така, че никой да не мине през същото.","The base is at home and it was carried with effort. There may have been scarcity, or responsibility taken far too early. So now you build so that nobody goes through the same."
"sun","2","saturn","5","Мъчно ви е да харчите за удоволствие и точно това е задачата. Радостта тук се учи, не идва сама. Каквото създадете обаче, го довършвате, което малцина правят.","Spending on pleasure comes hard to you and that is precisely the task. Joy is learned here rather than given. Whatever you do create, though, you finish, which few manage."
"sun","2","saturn","6","Парите идват от работа и от режим, без изключения. Издържате дълго и точно затова се пренатоварвате. Тук здравето влиза в бюджета, независимо дали го включвате.","Money comes from work and routine, with no exceptions. You last a long time and that is exactly why you overload. Health belongs in the budget here whether you put it there or not."
"sun","2","saturn","7","Сметките опират до обвързване — брак, съдружие, договор. Или го избягвате години, или го носите докрай. Хората, с които се захващате, решават колко ще имате.","The accounts come down to commitment — a marriage, a partnership, a contract. You either avoid it for years or carry it to the end. The people you take on decide what you will have."
"sun","2","saturn","8","Минали сте през загуба или през чужд контрол над парите и то ви е изградило. Знаете как се излиза от дълг, защото сте излизали. Затова другите ви търсят точно в тези моменти.","You have been through a loss, or through someone else controlling the money, and it built you. You know how to get out of debt because you have done it. Which is why people come to you in exactly those moments."
"sun","2","saturn","9","Парите идват след учене и след изградена компетентност, не преди. Дълго се готвите и после стоите здраво. Тук дипломата не е формалност, а инструмент.","The money comes after study and proven competence, never before. You prepare for a long time and then stand firm. A qualification is not a formality here, it is a tool."
"sun","2","saturn","10","Тук сте на мястото си: изкарано с години име и доход, който върви с него. Идва по-късно от при другите и остава. Внимавайте само да не мерите себе си единствено с това.","This is where you belong: a name earned over years and an income that follows it. It arrives later than for others and it stays. Just be careful not to measure yourself by it alone."
"sun","2","saturn","11","Малко хора, но правилните, решават сметките ви. Приятелствата ви са дългогодишни и точно от там идват възможностите. Групите ви изморяват, но не се справяте и без тях.","Few people, but the right ones, decide your accounts. Your friendships run for decades and the openings come from exactly there. Groups tire you and you do not manage without them either."
"sun","2","saturn","12","Носите финансова тежест, за която не говорите. Оправяте я сами, тихо, без да искате помощ, и това ви струва повече от парите. Тук се учи да се иска навреме.","You carry a financial weight you do not talk about. You settle it alone and quietly, without asking for help, and that costs you more than the money. The lesson here is asking in time."
