"point","colour","outcome","title_bg","title_en","bg","en"
"sun","moon","miss","Признание без топлина","Recognition without warmth","Имаш нужда да бъдеш видян с топлина, а този човек не посреща естествено тази твоя страна. Може да получаваш присъствие или уважение, но да ти липсва онова човешко „виждам те и се радвам на теб“, което те отпуска. Тази форма на признание няма да се появи само защото я чакаш — ще трябва ясно да я поискаш и да я изграждаш и в други отношения.","This part of you wants approval delivered gently, and here it arrives dry. You get the assessment without the comfort, and it feels like being measured rather than looked after. Say so outright instead of waiting for it to be noticed."
"sun","mercury","miss","Никой не го изговаря","Nobody puts it into words","Имаш нужда присъствието ти да получава словесен отговор, но този човек не го дава естествено. Може да знае какво мисли за теб, без да го казва, и така да останеш с усещането, че трябва сам да си потвърждаваш стойността. Тук ще ти е важно да не превръщаш чуждото мълчание в мярка за собствената си значимост.","You need somebody to put what you do into words, and here the words do not come. It feels as though the effort stays invisible even when it has been seen. Silence here does not mean indifference, though it will not feel that way."
"sun","venus","miss","Уважават те, но не ти се радват","Respected but not enjoyed","Имаш нужда не само да бъдеш уважаван, а и искрено харесван и ценен като човек. Този партньор може да присъства, да помага или да уважава избора ти, но не дава лесно топлото удоволствие от самото ти съществуване. Ще трябва да различиш липсата на изразено възхищение от липсата на любов и да не чакаш партньорът сам да познае какво те кара да се чувстваш ценен.","You want to be enjoyed and what you get is judgement. You will be taken seriously here and rarely lightly, which wears harder over time than an open quarrel. Find the lightness elsewhere rather than squeezing it out of this."
"sun","mars","miss","Никой не реагира","Nobody pushes back","Имаш нужда от човек, който реагира на твоята воля и има собствена сила, но тук срещаш повече пасивност или избягване на директния сблъсък. Това може да те остави да движиш отношенията сам и постепенно да загубиш усещането, че отсреща има равностоен импулс. Част от тази жизненост ще трябва да идва от собствените ти действия и от среда, в която има реален обмен на воля.","You come alive against resistance and here everything gives way to you. The agreement you get leaves you with nothing to push against and slowly stops interesting you. You will need somewhere else where somebody argues with you honestly."
"sun","jupiter","miss","Никой не залага на теб","Nobody bets on you","Имаш нужда някой да вижда потенциала ти и да ти дава пространство да растеш, но този човек не носи естествено такъв широк поглед. Може да чуваш повече за ограниченията и реалността, отколкото за това накъде можеш да стигнеш. Не оставяй чуждата предпазливост да стане граница на собственото ти развитие.","You unfold when somebody believes in you in advance, and here trust arrives after the proof. You will feel examined at exactly the moments you needed a push. The nerve will have to come from you rather than from across the table."
"sun","saturn","miss","Не те приемат насериозно","Not taken seriously","Имаш нужда от отношение, което показва уважение чрез постоянство и сериозност, но този човек не ти дава лесно такава опора. Може да се окажеш в положение, в което сам доказваш, че заслужаваш място, вместо да усещаш, че то вече ти е дадено. Тук самоуважението трябва да има собствена основа, а не да зависи от чуждата последователност.","You want your word to carry weight, and here it is taken lightly. Promises are made quickly and moved, and that costs you more than you admit. Agree on few things and hold the line on exactly those."
"sun","uranus","miss","Вкарват те в рамка","Fitted into a frame","Имаш нужда да бъдеш себе си без да те вкарват в готова форма, но този човек може да очаква повече предвидимост или съобразяване. Постепенно може да усещаш, че трябва да намаляваш странното, различното или независимото в себе си, за да остане връзката спокойна. Важно е да пазиш собствената си индивидуалност, вместо да чакаш партньорът сам да ѝ направи място.","You shrink the moment somebody starts arranging you, and here the arranging never stops. You will feel pressure to be more ordinary than you are. Keep one area where you answer to nobody."
"sun","neptune","miss","Виждат те точно такъв, какъвто си","Seen exactly as you are","Имаш нужда някой да вижда и идеала в теб, но този човек не ти дава лесно този вдъхновяващ поглед. Отношението може да остане прекалено конкретно и да вижда основно това, което вече си доказал. Тук ще трябва сам да поддържаш връзката с визията за това, което можеш да станеш, без да изискваш партньорът да я споделя.","You need somebody to see a little more in you than you can prove. Here you get a sober and fair assessment, which is colder than what actually helps you. What is missing is not praise but imagination on the other side."
"sun","pluto","miss","Държат се леко","Kept light","Имаш нужда от отношение, което да стига под повърхността и да приема цялата ти сила, но този човек не влиза естествено толкова дълбоко. Може да усещаш, че виждат ролята или образа ти, но не и онова, което стои под него. Не е нужно да изтръгваш дълбочина насила — част от тази среща със себе си ще трябва да се случва независимо от партньора.","Shallow attachment offends you, and here everything is kept at a convenient depth. It will seem to you that nobody goes all the way in, and you will start testing how far they will go. Those tests will not produce the answer you are after."
"moon","sun","miss","Никой не е напълно тук","Nobody is quite here","Имаш нужда от ясно, топло присъствие, което да ти дава усещане за сигурност, но този човек не го излъчва естествено. Може да е физически до теб, а емоционално да остава трудно уловим. Тук ще трябва да се научиш да не чакаш неговата видимост да успокои всяка тревога и да изграждаш собствено чувство за вътрешна опора.","You settle around plain presence and here you get half of it. You will not quite know where you stand, and your worry will find something to fasten on. Ask about specific things rather than about moods."
"moon","mercury","miss","Няма на кого да го кажеш","Nowhere to say it","Имаш нужда чувствата ти да бъдат чути и преведени в думи, но този човек не влиза лесно в такъв разговор. Може да говорите много и пак да останеш неразбран в емоционалния смисъл. Тази връзка ще изисква ясно да назоваваш преживяването си, без да очакваш другият автоматично да го усети.","Your worry lifts only once you have said it, and here the conversation does not happen. You will carry alone things that would fall apart in ten minutes out loud. Find another ear and do not wait for this to change."
