"planet","house","ruler","ruler_house","bg","en"
"sun","3","moon","1","Ставате себе си, като говорите, а говорите според настроението си в момента. В добър ден сте отворени и разказвате всичко; в лош замлъквате и хората се чудят какво са направили. Тук сами си държите думите.","You become yourself by talking, and you talk according to the mood of the moment. On a good day you are open and tell everything; on a bad one you go quiet and people wonder what they did. You hold your own words here."
"sun","3","moon","2","Приказката ви върви, когато се чувствате сигурни, а сигурността ви е материална. Има ли основа, говорите леко и убедително; няма ли, започвате да пестите думи. Тук парите влияят на езика повече, отколкото признавате.","Your talk flows when you feel secure, and security for you is material. With a base you speak easily and convincingly; without it you start rationing words. Money affects your tongue here more than you admit."
"sun","3","moon","3","Мислите с чувства и помните всичко казано, дори отпреди години. Затова разговорите ви тежат повече, отколкото на другите. Тук няма външен коректив — сами решавате кога да замълчите.","You think in feelings and remember everything that was said, even from years back. So conversations weigh more with you than with others. There is no corrective here; you decide alone when to stop talking."
"sun","3","moon","4","Как говорите зависи от това как е у вас. Спокойно ли е вкъщи, сте приказливи и топли; напрегнато ли е, езикът ви става остър без причина. Тук първо се оправя домът, после разговорът.","How you speak depends on how things are at home. Calm indoors and you are talkative and warm; tense indoors and your tongue turns sharp for no reason. Settle the house first, the conversation second."
"sun","3","moon","5","Оживявате, като разказвате, и хората ви слушат заради усмивката, не заради аргумента. Има ли радост в живота ви, думите ви идват сами. Скучно ли стане, млъквате и се затваряте.","You come alive telling stories, and people listen for the warmth rather than the argument. With joy in your life the words arrive by themselves. When it turns dull you fall silent and close up."
"sun","3","moon","6","Умът ви работи по-добре, когато денят е подреден. Спите ли зле, обърквате думите и се дразните от дребно. Тук режимът е това, което прави мисленето ви ясно.","Your mind works better when the day is in order. Sleep badly and you fumble your words and snap at small things. Routine is what makes your thinking clear here."
"sun","3","moon","7","Мислите на глас, но с човек. Идеите ви се избистрят в разговор с близкия, а сами се въртите в кръг. Затова тук изборът на човек до вас решава и как мислите.","You think out loud, but with someone. Your ideas come clear in conversation with the closest person; alone you go round in circles. So the person beside you decides how you think."
"sun","3","moon","8","Говорите малко за онова, което ви занимава най-много. Мислите ви ходят в дълбокото — доверие, тайни, неизказано. Затова хората ви приемат за по-затворени, отколкото сте.","You say little about what occupies you most. Your thoughts go to the deep places — trust, secrets, the unsaid. Which is why people take you for more closed than you are."
"sun","3","moon","9","Мисленето ви иска простор. Нова тема, път, чужд език — тогава сте най-остри. Затворите ли се в едно и също, започвате да преповтаряте и да се дразните.","Your thinking wants room. A new subject, a journey, another language — that is when you are sharpest. Shut into sameness you start repeating yourself and getting irritable."
"sun","3","moon","10","Думите ви носят тежест навън и вие го знаете. Затова мерите какво казвате пред хора, които решават. Признаят ли ви, говорите свободно; премълчат ли ви, се затваряте.","Your words carry weight outside and you know it. So you measure what you say in front of people who decide. Recognised, you speak freely; passed over, you shut down."
"sun","3","moon","11","Мислите заедно с хората около вас — приятели, група, обща тема. Идеите ви идват от разговорите в кръга, не от четене насаме. Останете ли сами, се изпразвате бързо.","You think alongside the people around you — friends, a group, a shared subject. Your ideas come out of the circle's talk rather than solitary reading. Alone you empty out fast."
"sun","3","moon","12","Най-важното си го мислите насаме и рядко го изричате. Затова ви трябва тишина, преди да проговорите. Пропуснете ли я, казвате неща, за които после съжалявате.","You think the important part alone and rarely say it. So you need quiet before you speak. Skip it and you say things you regret afterwards."
"sun","3","mars","1","Говорите направо и спорите с охота. Тук сами си решавате тона — няма кой да ви усмири, преди да сте прекалили. Затова печелите спорове и губите хора.","You speak directly and argue with appetite. You set your own tone here, with nobody to calm you before you go too far. So you win arguments and lose people."
