"planet","house","ruler","ruler_house","bg","en"
"sun","2","sun","2","Сами си управлявате парите и стойността и не се допитвате до никого. Каквото имате, е ваша работа и ваша заслуга, и точно затова ви е трудно да приемете съвет. Няма външен коректив, когато сметката тръгне надолу.","You govern your own money and worth and consult nobody. What you have is your business and your doing, which is exactly why advice sits badly with you. There is no outside corrective when the account turns down."
"sun","2","mercury","1","Стойността си мерите с това, което имате, а сметката я правите наум и постоянно. Вие сте човекът, който знае цените без да гледа. Затова и се представяте като по-практични, отколкото се чувствате.","You measure your worth by what you have, and you run the arithmetic in your head constantly. You are the person who knows the prices without looking. So you present as more practical than you feel."
"sun","2","mercury","2","Парите тук се въртят и се пресмятат — покупка, продажба, дребна сделка, второ занимание. Умът ви работи по сметка и рядко се лъже. Само че постоянното мерене ви пречи да се насладите на постигнатото.","Money here is turned over and counted — a purchase, a sale, a small deal, a second occupation. Your mind runs on arithmetic and rarely miscalculates. The constant measuring keeps you from enjoying what you built, though."
"sun","2","mercury","3","Печелите с думи, договорки и движение — телефон, среща, кратко пътуване. Тук доходът идва от много малки неща, не от едно голямо. Записвайте: тъкмо дребното ви се губи.","You earn through words, arrangements and movement — a phone call, a meeting, a short trip. Income here comes from many small things rather than one big one. Write it down: the small things are exactly what you lose track of."
"sun","2","venus","11","Парите ви вървят през хора, които ви харесват. Приятели и общ кръг ви носят възможности, а вие им връщате с щедрост. Тук се печели от добри отношения, не от натиск.","Your money runs through people you like. Friends and a shared circle bring you openings and you repay them with generosity. Good relations earn here, not pressure."
"sun","2","venus","12","Обичате хубавото, но не го разгласявате. Харчите тихо, за неща, които са ваша частна радост. Внимавайте само със скритите разходи — те се събират, докато не гледате.","You love fine things without advertising them. You spend quietly on what is your private pleasure. Just watch the hidden outgoings; they add up while you are not looking."
"sun","2","venus","1","Стойността ви е свързана с вкуса ви и хората го виждат от първата минута. Изглеждате човек, който знае какво иска, и това ви носи. Внимавайте да не купувате, за да ви приемат.","Your worth is bound up with your taste and people see it in the first minute. You look like someone who knows what they want, and it pays. Watch the buying done to be accepted."
"sun","2","venus","2","Обичате да имате хубави неща и сте склонни да платите за качество. Комфортът не ви е капризът, за който го смятат — той ви е доказателство, че усилието е било оправдано. Само не мерете себе си с етикета.","You like owning good things and will pay for quality. Comfort is not the whim people take it for; it is your proof that the effort was worth it. Just do not measure yourself by the label."
"sun","2","venus","3","Парите идват през приятни разговори и добри отношения наоколо. Умеете да поискате, без да прозвучи като искане. Тук чарът е работен инструмент.","The money comes through pleasant conversation and good relations nearby. You know how to ask without it sounding like asking. Charm is a working tool here."
"sun","2","venus","4","Влагате в дома и той ви връща. Хубаво място, спокойни близки, нещо свое — това ви е и целта, и мярката. Тук харченето за дома не е разход, а основа.","You invest in the home and it repays you. A good place, calm relatives, something of your own — that is both the goal and the measure. Spending on the house is not an expense here, it is the base."
"sun","2","venus","5","Печелите там, където ви е приятно, и харчите за същото. Удоволствието ви е двигател, не слабост — само че сметката понякога го научава по трудния начин. Тук се учи да се радвате, без да се разорявате.","You earn where you enjoy yourself and spend on the same. Pleasure is the engine here, not a weakness — though the account learns it the hard way now and then. The lesson is enjoying it without going broke."
