"planet","house","ruler","ruler_house","bg","en"
"sun","1","mercury","3","Показвате се с говорене — кой сте, се разбира от разговора, а не от вида ви. Важното си го уреждате с едно обаждане, с бележка, с отскачане до съседната улица. Брат, сестра или съсед често са тези, през които минава животът ви.","You show up in speech — who you are comes across in the talking, not in the look. You settle what matters with a phone call, a note, a quick errand two streets away. A brother, a sister or a neighbour is often the one your life runs through."
"sun","1","mercury","11","Разбирате какъв сте, докато сте между хора — една компания ви казва повече за вас, отколкото цял ден размисъл. Каквото решите за себе си, минава през приятел: той пита, вие отговаряте и оттам тръгва. Останете ли извън кръга, започвате да си измисляте.","You find out who you are while among people: one circle tells you more about yourself than a whole day of reflection. Whatever you decide about yourself passes through a friend — they ask, you answer, and it starts from there. Left outside the group, you begin to invent things."
"sun","2","mercury","4","Колко струвате, се решава вкъщи — там правите сметките, там ги обсъждате и там пазите книжата. Наследено жилище, семейна уговорка, дума на майка ви за пестенето: всичко това стои зад приходите ви. Оправите ли реда вкъщи, оправя се и джобът.","What you are worth gets decided indoors — that is where you do the sums, talk them over and keep the papers. An inherited flat, a family arrangement, your mother's line about saving: all of it stands behind your income. Put the house in order and the wallet follows."
"sun","2","mercury","12","За парите си мислите наум и не казвате на никого колко имате. Сметките ви се подреждат насаме, вечер, когато няма кой да ви пита — и точно тогава ви идват верните ходове. Внимавайте само с уговорките, за които няма свидетел.","You think about money silently and tell nobody how much there is. The accounts come together on your own, late, with nobody asking, and that is exactly when the right move occurs to you. Just be careful with arrangements no one witnessed."
"sun","3","mercury","1","Каквото знаете, си го носите на лицето — проговорите ли, хората веднага разбират с кого си имат работа. Не чакате писмо и разрешение: отивате, питате и връщате отговор същия ден. Никой не може да го свърши от ваше име, защото тежи вашата дума.","What you know you wear on your face — the moment you speak, people know who they are dealing with. You do not wait for a letter or for permission: you go, you ask, you bring the answer back the same day. Nobody can do it in your name, because it is your word that carries."
"sun","3","mercury","5","Ученето ви върви, докато ви е весело — превръщате го в игра и запомняте наведнъж. Разказвате така, че хората се смеят, и точно с това ги учите, без да им е ясно кога. Дете, залог или влюбване могат да ви отворят главата повече от курс.","You learn while you are enjoying it: you turn the thing into a game and it sticks the first time. You tell a story so people laugh, and that is how you teach them without their noticing. A child, a wager or a love affair can open your head wider than any course."
"sun","4","mercury","2","Домът ви върви на пари и вие го знаете по-добре от всеки — вноската, ремонтът, кой колко дава. Роднинските въпроси се изчистват, като се сметнат, а не като се преговарят до безкрай. Има ли яснота в цифрите, вкъщи е тихо.","Your home runs on money and you know it better than anyone: the instalment, the repairs, who contributes what. Family questions clear up when they are added up, not when they are talked over forever. When the figures are clear, the house is quiet."
"sun","4","mercury","6","Къщата ви държи ред — списък, график, кой е на смяна, какво се купува в четвъртък. Обичате своите с вършене: сготвено, закарано, записано за преглед. Разпадне ли се редът, домът ви натежава по-бързо от всяка свада.","Your house is held together by routine — a list, a schedule, whose turn it is, what gets bought on Thursday. You love your people by doing: cooked, driven somewhere, booked in for the check-up. When the order goes, home gets heavy faster than any quarrel could make it."
"sun","5","mercury","3","Измисляте, докато говорите — идеята идва по средата на разговора и вие вече я разказвате. Приятното ви е близо: една разходка, едно кафе, брат или съседка, с които се хващате да правите нещо. Вземете си бележник, защото най-хубавото ви хрумва в движение.","You invent while talking: the idea shows up mid-conversation and you are already telling it. Your pleasures are near at hand — a walk, a coffee, a sibling or a neighbour you get up to something with. Carry a notebook, because your best things occur to you on the move."
"sun","5","mercury","7","Хубавото ви се измисля на две — казвате го на глас пред човека до вас и то се сглобява. Партньорът ви е първият читател, първият съдия и понякога съавтор. Мълчите ли по това, което ви радва, то бързо престава да ви радва.","Your good things get thought up in twos — you say it out loud to the person opposite and it comes together. Your partner is the first reader, the first judge and sometimes the co-author. Keep quiet about what delights you and it soon stops delighting you."
"sun","6","mercury","4","Работите най-добре, когато сте си направили ъгъл вкъщи — маса, лампа, тишина и всичко под ръка. Задачите ви се въртят около своите: чужд ремонт, чужди книжа, някой от семейството все чака да оправите нещо. Смените ли жилището, се променя и целият ви ден.","You work best once you have made yourself a corner at home: a table, a lamp, quiet, everything within reach. Your tasks circle your own people — somebody's repair, somebody's paperwork, a relative always waiting for you to sort something out. Change where you live and the whole shape of your day changes."
"sun","6","mercury","8","Дните ви минават в чужди сметки — дългове, застраховки, документи, които някой друг не смее да отвори. Умеете да намерите грешката там, където всички са минали набързо, и заради това ви търсят. Пазете нервите: тази работа влиза под кожата и после не си тръгва.","Your days go into other people's accounts — debts, insurance, papers somebody else does not dare open. You find the error where everyone else skimmed past, and that is why they come to you. Guard your nerves: this work gets under the skin and then will not leave."
"sun","7","mercury","5","С човека до вас се разбирате, докато играете — обща шега, обща идея, нещо направено заедно за удоволствие. Стане ли еднообразно, се хващате за дребното и се дразните. Децата, гостите и смехът държат тази връзка повече от разговорите за бъдещето.","You and the person beside you get on while you are playing — a shared joke, a shared idea, something made together for the fun of it. Let it turn samey and you start picking at small things. Children, guests and laughter hold this bond better than talks about the future."
"sun","7","mercury","9","Човекът ви идва отдалече — от друг град, друг език, друга вяра, или се срещате, докато учите. Разбирате се, като си обяснявате света един на друг, и точно това ви държи заедно. Спрете ли да учите нещо ново, разговорът пресъхва.","Your person comes from far off — another town, another language, another faith, or you meet while studying. You get on by explaining the world to each other, and that is exactly what keeps you together. Stop learning anything new and the conversation dries up."
