"kind","sign","outcome","title_bg","title_en","bg","en"
"descendant","aries","miss","Никой не решава пръв","Nobody decides first","Търсиш човек, който действа, поема инициатива и има собствена воля, но този партньор не носи естествено този тип динамика. Лесно можеш да се окажеш двигателят на отношенията и да се ядосваш, че всичко чака теб. Ще трябва ясно да разпределяш инициативата, вместо да очакваш тя да се появи сама.","You want somebody who moves without being asked, and here there is waiting. You will take every decision yourself and resent that nobody even objects. Hand over specific things rather than waiting for initiative."
"descendant","taurus","miss","Няма спокойствие насреща","No steadiness across the table","Имаш нужда от спокоен и устойчив човек, но тук сигурността не идва естествено от партньора. Може да се окажеш този, който успокоява, стабилизира и държи нещата на място. Важно е да изградиш свои опори и да не очакваш другият автоматично да стане твоят вътрешен стабилизатор.","You need somebody well planted, and here the nervousness is constant. You will be steadying the other one instead of being steadied. Lean on arrangements rather than on people until that changes."
"descendant","gemini","miss","Не се получава разговор","The conversation never starts","Имаш нужда от лекота, разговор и интелектуална игра, но този човек не ги носи естествено в партньорската динамика. Може да сте близки и въпреки това да ти липсва усещането, че има с кого да споделяш мислите си. Тук е здравословно да поддържаш и свои приятелски и интелектуални пространства.","You are after lightness and curiosity, and here neither arrives. You will be comfortable and lonely at the same time. Friends to talk to are a necessity, not a betrayal."
"descendant","cancer","miss","Няма къде да се върнеш","Nowhere to come back to","Търсиш партньор, при когото има усещане за дом и емоционално връщане, но този човек може да остава по-формален или по-сдържан. Тогава лесно се чувстваш гост там, където искаш да се отпуснеш. Ще трябва ясно да показваш какво за теб означава грижа, вместо да чакаш тя да бъде отгатната.","You want somebody you come home to, and here everything is polite and cool. You will feel like a guest where you were supposed to be at home. Say what care means to you before concluding there is none."
"descendant","leo","miss","Никой не свети","Nobody shines","Имаш нужда от ярък, топъл и изразителен човек, но този партньор може да бъде по-сдържан или предпазлив. Връзката може да е спокойна, без да храни достатъчно живо твоето усещане за романтично присъствие. Част от нуждата от игра, творчество и яркост ще трябва да поддържаш сам.","You want somebody bright across from you, and here everything is measured. You will be at ease and you will not be interested. The dullness here is not your fault and will not pass on its own."
"descendant","virgo","miss","Обещава се, не се прави","Promised, not done","Имаш нужда партньорът да показва грижа чрез конкретни действия, но тук обещанията и намеренията може да не се превръщат лесно в практическа помощ. Така постепенно поемаш повече задачи, отколкото искаш. Ясното разпределение на отговорностите ще бъде по-полезно от надеждата, че другият сам ще се досети.","You value help in deeds, and here words are what arrive. You will do everything yourself and be told how much you are appreciated. Agree on who does what, not on who feels what."
"descendant","libra","miss","Всичко е борба","Everything is a fight","Търсиш равнопоставеност, такт и способност за договаряне, но този човек може да влиза по-лесно в борба или едностранно налагане. Ако постоянно отстъпваш заради мира, натрупването идва по-късно. Ще трябва да пазиш собствената си позиция и да не бъркаш спокойствието с липса на конфликт.","You want a decent tone and some balance, and here strength is what gets measured. You will give way to keep the peace and run up a bill. Say the disagreement early, while it is still small."
"descendant","scorpio","miss","Всичко остава на повърхността","It all stays on the surface","Имаш нужда от човек, който издържа на дълбочина и неудобни истини, но този партньор може да се отдръпва точно там. Така оставаш с усещането, че има втори пласт, до който не можеш да стигнеш заедно с него. Не го насилвай — приеми, че част от тази дълбочина ще трябва да бъде твоя лична работа.","You want somebody who can take the truth, and here the awkward thing is avoided. You will sense a second layer that never gets discussed. Do not dig it out; offer it and wait."
"descendant","sagittarius","miss","Тясно и дребнаво","Narrow and petty","Имаш нужда от свобода, движение и открит хоризонт, но този човек може да предпочита по-тесен и предвидим модел на партньорство. Ако постоянно се обясняваш за нуждата си от пространство, ще започнеш да усещаш връзката като ограничение. Тук собственото ти пространство не е лукс, а важен начин да останеш себе си.","You are after openness and movement, and here everything is measured out small. You will suffocate over things the other one finds perfectly normal. Keep a space of your own rather than trying to persuade."
"descendant","capricorn","miss","Няма на кого да разчиташ","Nobody to rely on","Имаш нужда от човек, на когото можеш да разчиташ и който поема своята част от живота, но тук отговорността може да остава повече у теб. Това създава умора и усещане, че трябва да държиш всичко. Ще ти е важно да не поемаш автоматично чуждата част само защото можеш.","You want somebody who carries responsibility unprompted, and here the prompting never stops. You will hold everything together and be told you are severe. Split clearly who owns what, and do not take it back."
"descendant","aquarius","miss","Повтаря се чуждото","Other people's opinions, repeated","Имаш нужда от самостоятелно мислещ човек, но този партньор може да се съобразява повече с общоприетото или с чуждите мнения. С времето това може да те кара да се чувстваш интелектуално сам. Не се опитвай да го променяш — поддържай собствената си свобода на мислене и среда.","You want somebody who thinks for themselves, and here the thinking follows everyone else's. Conversations with nothing new in them will start to cramp you. Do not try to make the other one stranger than they are."
"descendant","pisces","miss","Твърдо и практично","Hard and practical","Имаш нужда от мекота, състрадание и способност да се вижда човекът зад грешката, но този човек може да подхожда по-твърдо и практично. Така получаваш решение, когато всъщност ти трябва разбиране. Част от тази мекота ще трябва да идва от теб и от хората, с които можеш да я споделиш.","You are after gentleness and the ability to forgive, and here everything is to the point. You will get correct answers and feel cold. The softness will have to come from you."
"imum_coeli","aries","miss","Всичко е застояло","Everything has gone still","Вътрешната ти основа има нужда от живот и движение, но този човек не внася естествено достатъчно активност в общото пространство. Домът може да стане удобен, но застинал. Ще трябва сам да създаваш движение и инициативи, вместо да чакаш средата да те задвижи.","The place you set off from has to be alive, and here nothing happens. It will feel as though time is moving and you are not. Bring the movement in yourself before you tire of it."
"imum_coeli","taurus","miss","Нищо не стои на място","Nothing stays put","Имаш нужда от стабилност, предвидимост и усещане, че нещата остават на място, но този човек може да внася промени или несигурност в основата. Това затруднява чувството „тук съм си у дома“. Ще ти помага да създаваш свои постоянни ритуали и опори.","Your roots want a long time in one place, and here the base keeps moving. You will miss the sense of being at home anywhere. Hold at least a few things unchanged."
"imum_coeli","gemini","miss","Мълчи се","Nobody speaks","Имаш нужда домът да бъде жив чрез разговор и обмен, но тук общото пространство може да остане прекалено тихо. Може да няма конфликт, а пак да усещаш липса. Ще трябва съзнателно да внасяш разговор, хора и интелектуално движение, вместо да чакаш тишината сама да се запълни.","You need talk going on around you, and here it is quiet. That will weigh more on you than a row would, and you will struggle to name it. Let people in; the quiet here will not fill itself."
"imum_coeli","cancer","miss","Всичко е формално","Everything stays formal","Имаш нужда от място, което те приема без условия, но този човек не създава естествено такава емоционална база. Може да има съжителство и организация, без да има истинското усещане за „прибирам се“. Тук ще трябва ясно да изграждаш ритуалите и формите на грижа, които правят едно пространство дом.","You need a place that takes you in without conditions, and here there are rules. You will behave well where you were supposed to let go. Do not try to earn it; ask for it."
"imum_coeli","leo","miss","Сиво и скромно","Grey and modest","Имаш нужда от дом с личен отпечатък, топлина и повод да се гордееш с него, но този човек може да не носи такава естетическа или творческа енергия. Средата може да функционира, без да ти носи радост. Ще трябва сам да внесеш цвят, творчество и личен смисъл в нея.","You want your base to be something you show, and here everything is understated. It will be comfortable and slightly embarrassing. Make at least one corner you are proud of."
