source,key,bg,en
"AngleMeanings","byKey|asc","Как пристигате: Асцендентът показва първото впечатление, стила на влизане в нови ситуации и начина, по който започвате взаимодействия. Това не е маска, а начинът, по който тялото, поведението и моментът създават „вратата“ към останалата част от картата. Асцендентът може да обрисува повтарящи се реакции и автоматични подходи, които после съзнателно развивате или омекотявате; осъзнаването му често дава контрол върху първия импулс и позволява да подберете как да се представите според целта си.","How you arrive: the Ascendant shows the first impression you give, the way you enter situations, and the approach you take when something begins. It isn’t a mask but the doorway through which the rest of the chart expresses itself — a pattern of bodily presence and instinctive responses shaped by the moment of birth. The ASC often reveals automatic habits you can become aware of and refine, so noticing it helps you choose when to lean into a first impulse or to adjust your presentation."
"AngleMeanings","byKey|mc","Най-високата точка на картата говори за позицията ви пред света — репутацията, кариерата или обществената роля, към която сте привлечени. Меридианът описва какво хората би трябвало да видят: типа отговорности, авторитет или амбиция, която ви тегли. Той не определя интимния живот, а сцената, на която се измерят вашите усилия. Животните обрати могат да изместят фокусa към или от МС, но разбирането му помага да насочвате професионални избори и публични прояви по-осъзнато.","The chart’s highest point describes your standing before the world — reputation, vocation, or the public role you’re drawn toward. The Midheaven outlines the kinds of responsibilities, authority, or ambitions that shape your outward direction. It speaks more to public life than to private matters: the stage on which your work and status are seen. Life changes can shift how you express your MC, but understanding it helps you steer career choices and public behavior with greater clarity."
"AscendantInSign","entries|asc_aquarius","Хората ви възприемат като независими и различни — малко встрани от общото, трудни за поместване в стандартни кутии. Това ви прави запомнящи се и често привлича интерес към нестандартните ви възгледи. Първите впечатления от вас могат да варират значително в зависимост от наблюдателя: за някои сте визионер, за други — хладен или ексцентричен. Темите са индивидуалност, иновация и социални идеи; практическото предизвикателство е да намирате съмишленици и да обяснявате различията си така, че да изграждате реални връзки.","You come across as your own person—slightly apart, hard to categorize and not doing things the usual way. That makes you memorable and often attracts curiosity about your unconventional views. First impressions of you can differ widely: some see a visionary, others find you detached or eccentric. Themes include individuality, innovation and social thinking; a helpful strategy is to find compatible circles, explain your choices with clarity when needed, and use your originality to collaborate rather than isolate."
"AscendantInSign","entries|asc_aries","Проявявате се пред света като директен, бърз и импулсивен човек — околните често очакват да поемете инициативата. Новите ситуации срещате напред, вместо да ги анализирате, и това често се чете като увереност, дори когато вътрешно не сте сигурни. Силната ви енергия е ценна за започване на проекти, но може да доведе до прибързани решения или конфликти. Насоки: огледайте импулса преди действие, канализирайте енергията в ясни начала и практикувайте търпение към собствените несигурности.","You present as direct, quick and ready to take the lead, so others often expect you to initiate. You meet new situations head-on rather than study them, which reads as confidence even when you feel uncertain. Your drive is ideal for starting projects, yet it can produce hasty choices or friction. Practical advice: pause briefly before acting, direct your energy toward deliberate beginnings, and cultivate patience with moments of inner doubt."
"AscendantInSign","entries|asc_cancer","Проявявате се като мек, грижовен и наблюдателен човек, който усеща настроението на другите. Преди да влезете в нова ситуация, обикновено „пробвате водата“ и първото ви движение е да прецените дали е безопасно. Връзките ви търсят сигурност и емоционална дълбочина; понякога защитният ви механизъм може да изглежда резервиран или предпазлив. Практически подход: създайте ритуали за усещане на сигурност, споделяйте малко по малко уязвимостта си и позволете на хората да покажат сигурност обратно.","You present as gentle, caring and attuned to others’ moods, often testing the waters before entering a new situation. Your first move is typically to gauge safety, and you value relationships that offer emotional security and depth. Protective instincts can come across as guardedness. Practical suggestions: develop rituals that make you feel secure, reveal vulnerability gradually, and allow others opportunities to demonstrate reliability in return."
"AscendantInSign","entries|asc_capricorn","Излизате пред хората сериозни, отговорни и надеждни — понякога изглеждате по-възрастни или по-уравновесени, отколкото сте. Околните често ви дават отговорност без да попитат и разчитат на стабилността ви. Това ви дава уважение, но може да ви направи дистанционни или предпазливи към уязвимост. Темите включват дисциплина, дългосрочно планиране и авторитет; полезно е да показвате малки човешки страни, да приемате подкрепа и да отделяте време за почивка и игра.","You come across as serious, reliable and often more composed than your years. People tend to hand you responsibility and trust your steadiness. That earns respect, yet it can make you appear distant or guarded emotionally. Themes include discipline, long-term planning and authority; a practical approach is to let a few humanizing details show, accept support when it’s offered, and schedule time for rest and lighter pursuits so responsibility doesn’t become burden."
"AscendantInSign","entries|asc_gemini","Пристигате в света с разговор, въпроси и бързи връзки между идеи — лесни сте за компания и комуникация. Хората често ви приемат за по-лек или по-повърхностен, защото при първа среща предпочитате да впечатлявате и да бъдете интересни, а не дълбоки. Любознателността ви носи разнообразие, но и риск от разпиляване. Насоки: изберете няколко области за по-задълбочено внимание, упражнявайте активно слушане и работете върху последователност в проектите.","You arrive with talk, curiosity and quick connections—easy company and lively conversation. People may take you as lighter or more surface-level because you prefer to be interesting rather than intense at first meetings. Your curiosity brings variety but can scatter your focus. Useful practices: pick a few topics for deeper follow‑through, cultivate active listening, and develop routines that help you finish what you start."
"AscendantInSign","entries|asc_leo","Забелязват ви — независимо дали търсите внимание или не. Вашето присъствие е топло, драматично и често носи усещане за сцена; хората очакват от вас да „носите стаята“. Това може да ви ласкае и да ви дава възможност да влияете позитивно, но и да тежи, когато сте уморени или уязвими. Темите включват нужда от признание, щедрост и стремеж към лидерство; практика е да насочвате вниманието си в смислени проекти и да си позволявате почивка, за да избегнете изтощение.","You tend to be noticed whether you seek it or not. Your presence feels warm, dramatic and slightly theatrical; people often expect you to carry the room. That attention can flatter and empower you, but it can also feel burdensome when you're tired or vulnerable. Key themes are a need for recognition, generosity and natural leadership; tensions appear when showmanship overrides authenticity. A helpful approach is to use the spotlight intentionally—for creativity or service—and to schedule rest and quieter ways to be seen."
"AscendantInSign","entries|asc_libra","Пристигате приветливи и отзивчиви; хората се отпускат около вас. Рефлексът ви е да изглаждате напрежението и да търсите хармония, което прави първите срещи лесни и приятни. В същото време това може да затрудни другите да разберат какво наистина мислите, защото предпочитате компромиса пред директния спор. Темите включват естетика, дипломация и търсене на баланс; практическо насочване е да упражнявате кратки, ясни изказвания на предпочитания и граници, за да запазите честността във взаимоотношенията.","You arrive as pleasant and accommodating, and people tend to relax around you. Your reflex is to smooth things over and seek harmony, which makes first meetings easy but can obscure what you really think. Themes include aesthetics, diplomacy and a strong sense of fairness; the tension is between keeping the peace and stating your needs. A constructive approach is to practice brief, clear expressions of preference and to set gentle boundaries so your charm doesn’t become a mask for avoidance."
"AscendantInSign","entries|asc_pisces","Излизате пред хората с меки контури и висока възприемчивост — често хората ви споделят неща по-рано, отколкото са планирали. Склонни сте да отразявате настроението на обкръжението си, което ви прави лесни за общуване, но и трудни за уловими като индивидуалност. Темите включват емпатия, интуиция и творческа чувствителност; практическо насочване е да работите върху граници и заземяване, да канализирате чувствителността в изкуство или помощ на другите и да запазвате време за възстановяване.","You come across as soft-edged and receptive, and people often confide in you sooner than they expect. You tend to take on the tone of whoever you’re with, which makes you easy to be around but sometimes hard to pin down as an individual. Themes include empathy, intuition and creative sensitivity; consider practicing clearer boundaries and grounding techniques, channeling your receptivity into creative or compassionate work, and reserving time to replenish your own emotional reserves."
