"changed","source","key","bg","en"
"0","chain","jupiter|1|jupiter|1","Влизате широко и стаята ви прави място, преди да сте направили нещо за него. Вярват ви на дума, а вие обещавате лесно, защото в момента наистина го мислите. Никой не ви спира отвън — спирачката трябва да е ваша, иначе се разливате.","You come in wide and the room makes space for you before you have earned it. People take your word, and you give it easily, because in the moment you mean every bit of it. Nothing stops you from outside — the brake has to be your own, or you spread until there is nothing left."
"0","chain","jupiter|1|sun|1","Носите се така, сякаш светът ви дължи добро, и странно защо често ви го дава. Гордостта и щедростта ви стоят на едно място: черпите, обещавате, вдигате тон. Тук няма кой да ви оправя сметките — вие сте и подписът, и цената.","You carry yourself as though the world owed you a favour, and oddly it often pays up. Pride and generosity live in the same spot: you buy the round, you make the promise, you raise your voice. Nobody else settles your accounts here — you are the signature and the bill."
"0","chain","jupiter|1|sun|2","Хората ви вярват отдалеч, но истинската проверка е какво остава в края на месеца. Обичате широкото харчене и то ви личи по вещите, купени в добро настроение. Държите ли парите в ред, и достойнството ви стои право.","People trust you from a distance, but the real test is what is left at the end of the month. You like spending wide, and it shows in the things you bought while you were feeling good. Keep the money straight and your dignity stands straight with it."
"0","chain","jupiter|1|sun|3","Говорите едро и хората ви слушат, дори когато преувеличавате. Един брат, съсед или колега ви е и публика, и мярка — пред него искате да блеснете. Кажете по-малко, отколкото можете, и ще ви повярват повече.","You talk big and people listen, even when you stretch it. A sibling, a neighbour or a colleague is both your audience and your yardstick — that is who you want to shine in front of. Say less than you could and they will believe you more."
"0","chain","jupiter|1|sun|4","Отвън изглеждате човек с широка ръка, а мярката ви седи вкъщи. Бащата или родният покрив ви е дал и самочувствието, и апетита да живеете нашироко. Оправите ли се със своите, и навън ви върви по-леко.","Outside you look like a person with an open hand, and your measure sits at home. A father or the roof you came from gave you both the confidence and the appetite to live large. Sort things out with your own people and the outside goes easier."
"0","chain","jupiter|1|sun|5","Обичат ви и вие го приемате като нормално, което си е половината от чара ви. Деца, любов, сцена, залог — там ви е гордостта и там харчите без мисъл. Играйте, но не залагайте това, което не бихте загубили с усмивка.","You are liked, and you take it as normal, which is half the charm. Children, romance, a stage, a wager — that is where your pride sits and where you spend without counting. Play, but do not stake what you could not lose with a smile."
"0","chain","jupiter|1|sun|6","Личи ви отдалеч, че заемате място, но всичко се решава в делника. Работата ви дава името и тя ви дава излишъка — ядете, седите, обещавате повече часове, отколкото имате. Дръжте тялото в ред и останалото се урежда само.","It shows from a distance that you take up room, but the daily round is what decides it. Work gives you your name and work gives you your excess — you eat, you sit, you promise more hours than you own. Keep the body in order and the rest arranges itself."
"0","chain","jupiter|1|sun|7","Влизате пръв и заемате място, но проверката е в човека срещу вас. Партньор, съдружник или противник ви показва колко от вашето е било самочувствие и колко истина. Дадете ли дума на такъв човек, дръжте я и името ви расте само.","You come in first and take up room, but the check is the person across from you. A partner, an associate or an opponent shows you how much of yours was confidence and how much was true. Give your word to such a person and keep it, and your name grows on its own."
"0","chain","jupiter|1|sun|8","Отвън сте човек с късмет, а най-важното ви минава през чужди пари и през загуба. Наследство, дълг, дял в общо — там се вдига или пада. Не пипайте нищо на едро, докато не знаете чие е и кога се връща.","From outside you look lucky, and the thing that matters most goes through other people's money and through loss. An inheritance, a debt, a share in something joint — that is where you rise or drop. Do not touch anything wholesale until you know whose it is and when it comes back."
"0","chain","jupiter|1|sun|9","Вярвате в големите неща и точно с това привличате хора. Учение, чужбина, учител или дълъг път ви подрежда — там разбирате кой сте. Без такава посока обещавате на едро и после не знаете защо ви е тежко.","You believe in large things and that is exactly what draws people to you. Study, a foreign country, a teacher or a long road is what sets you straight — that is where you find out who you are. Without such a direction you promise wholesale and then wonder why it sits heavy."
"0","chain","jupiter|1|sun|10","Дават ви кредит, преди да сте показали каквото и да е, и това работи най-силно пред очите на света. Име, длъжност, човек с тежест — там се решава докъде ще стигнете. Носете го изправено, защото същите очи гледат и когато сгрешите.","People extend you credit before you have shown anything, and it works hardest in full public view. A name, a post, somebody with weight — that is where your reach is decided. Carry it upright, because the same eyes are on you when you get it wrong."
"0","chain","jupiter|1|sun|11","Обичат ви в компания и вие сте по-широк, отколкото трябва, точно там. Един познат с тежест ви отваря врата, за която сам бихте се борили години. Пазете тези хора и не ги харчете за дребни услуги.","You are loved in company, and that is exactly where you overdo it. One acquaintance with weight opens a door you would have fought at for years on your own. Keep those people and do not spend them on small favours."
"0","chain","jupiter|1|sun|12","Отвън сте широк и уверен, а най-своето държите настрана. Помагате тихо, без да разказвате, и точно това ви носи повече, отколкото шумът. Стойте сам по малко всеки ден — иначе се раздавате, докато не остане нищо ваше.","Outwardly you are open and sure, and the part that is most yours stays out of sight. You help quietly, without the telling, and that brings you more than the noise ever does. Take a little time alone every day, or you hand yourself out until nothing of you is left."
"0","chain","jupiter|1|moon|1","Приемат ви топло и вие отвръщате със същото — обещавате, черпите, прибирате хора под крилото си. Настроението ви обаче се вижда като на длан и когато е нагоре, поемате повече, отколкото ще свършите. Никой не ви държи юздите освен вас.","People warm to you and you give it straight back — promises, treats, a wing put over whoever needs it. Your mood is legible as a page, though, and when it is up you take on more than you will finish. Nobody holds your reins but you."
"0","chain","jupiter|1|moon|2","Широката ръка ви идва отвътре, а се плаща от джоба. Купувате, когато ви е хубаво, и после гледате сметката с недоумение. Имате ли отделено настрана, ставате спокоен и щедростта спира да ви струва скъпо.","The open hand comes from somewhere inside you, and the pocket pays for it. You buy when you feel good and then look at the total in genuine surprise. With something set aside you go calm, and the generosity stops costing you so much."
"0","chain","jupiter|1|moon|3","Разказвате широко и хората се лепват за вас още от първата дума. Близките наоколо — брат, сестра, съсед — ви носят и новините, и настроението. Внимавайте какво обещавате между другото: тук се помни.","You tell it wide and people stick to you from the first sentence. Those close by — a brother, a sister, a neighbour — bring you both the news and the mood. Watch what you promise in passing: it is remembered here."
"0","chain","jupiter|1|moon|4","Растете от дома нататък и това си личи по всичко, което правите навън. Майката или къщата ви е дала мекото и широкото, а също и навика да не отказвате. Стане ли неспокойно там, се разпилявате навсякъде другаде.","You grow outward from home and it shows in everything you do beyond it. A mother or a house gave you the softness and the width, and also the habit of not saying no. Let it go restless there and you scatter everywhere else."
