"planet","house","ruler","ruler_house","bg","en"
"jupiter","7","jupiter","7","Човекът до вас идва наготово с широта — с връзки, с пари, с апетит за живот, и вие пораствате покрай него. Обещавате си големи неща на масата и наистина вярвате в тях, докато ги казвате. Само че двама щедри рядко държат сметка кой колко е дал.","The person beside you arrives already wide — contacts, money, an appetite for life — and you grow next to them. You promise each other big things across the table and you truly believe them while you say them. But two generous people rarely keep track of who gave what."
"jupiter","7","sun","1","Растете чрез хора, но последната дума за вас я казва собствената ви гордост. Избирате човек, който ви прави по-голям, и после държите да си личи, че вие сте избрали. Внимавайте да не превърнете другия в украса.","You grow through people, and still your own pride has the last word. You pick someone who makes you larger, then insist it show that you did the picking. Careful not to turn the other one into decoration."
"jupiter","7","sun","2","Онзи до вас носи повече, отколкото сте имали, и това веднага се вижда по джоба. Гордеете се със своето и не обичате да ви подаряват — предпочитате да си го изкарате. Големите планове обаче трябва да минат през сметката, преди да ги обещаете.","The one beside you brings more than you had, and it shows in the pocket straight away. You take pride in what is yours and dislike being given things; you would rather earn them. But the big plans have to pass through the bill before you promise them."
"jupiter","7","sun","3","Другият ви отваря света с приказка — запознанства, разкази, места, за които не бяхте чували. Държите на това как звучите, когато говорите двамата пред хора. Пазете се да не обещаете нещо на глас само защото е прозвучало хубаво.","The other one opens the world with talk — introductions, stories, places you had never heard of. You care how the two of you sound when you speak in front of people. Just do not promise something out loud only because it sounded good."
"jupiter","7","sun","4","Съюзът се мери по това дали къщата стана по-голяма и по-топла. Искате свои хора наоколо, повече място, отворена врата за гости. Ако домът остане тесен, никакво обещание отвън не ви успокоява.","The alliance is measured by whether the house grew bigger and warmer. You want your own people around, more room, an open door for guests. If the home stays cramped, no promise from outside will settle you."
"jupiter","7","sun","5","Заедно живеете нашироко — излизания, деца, покани, малко показност. Другият ви подмладява и вие си позволявате повече, отколкото сам бихте си позволили. Проверявайте залозите, преди да кажете да.","Together you live broadly — nights out, children, invitations, a bit of show. The other one makes you younger and you allow yourself more than you would alone. Check the stakes before you say yes."
"jupiter","7","sun","6","Съвместното расте през работата — общ занаят, обща фирма, човек, който ви носи клиенти. Гордеете се, че сте изряден, и се дразните, когато отсреща е нехайно. Не поемайте чужда част само защото сте я обещали през смях.","What you build together grows through the work — a shared trade, a shared firm, someone who brings you clients. You take pride in doing your side properly and it grates when the other side is careless. Do not take on someone else's part just because you promised it laughing."
"jupiter","7","sun","7","Другият е едър човек — вижда се, чува се и вие нарочно сте го избрали такъв. Покрай него животът ви става по-голям, а и вие се държите по-широко. Само че всичко тук виси на неговото настроение и на неговата гордост.","The other one is a large presence — seen, heard, and you chose them that way on purpose. Life gets bigger around them and you carry yourself wider too. But everything here hangs on their mood and their pride."
"jupiter","7","sun","8","Печалбата идва през чужди пари — зестра, наследство, дял, отпуснат заем. Гордеете се, че не дължите, и въпреки това точно оттук идва растежът. Подписвайте бавно, дори когато отсреща се усмихват.","The gain comes through other people's money — a dowry, an inheritance, a share, a loan approved. You are proud of owing nothing, and yet this is exactly where the growth comes from. Sign slowly, even when the other side is smiling."
"jupiter","7","sun","9","Човекът идва отдалеч или ви извежда далеч — друг град, друга страна, друга вяра. Гордеете се с това, че сте тръгнали, и разказвате за него. Пазете се от обещания, дадени на чужд език, докато всичко е ново и хубаво.","The person comes from far away, or takes you far — another city, another country, another faith. You are proud of having gone and you tell the story of it. Beware of promises made in a foreign language while everything is still new and lovely."
"jupiter","7","sun","10","Съюзът вдига името ви — хората започват да ви броят заради това с кого сте. Онзи до вас е с положение и вие се държите на висота. Внимавайте да не се окаже, че сте се обвързали заради стъпалото, не заради човека.","The alliance lifts your name — people start counting you because of who you are with. The one beside you has standing and you carry yourself accordingly. Careful the bond is not for the step up rather than for the person."
"jupiter","7","sun","11","Кръгът около вас се разширява през него — приятели, покани, полезни хора, които сами не бихте срещнали. Гордеете се с компанията и охотно я приемате за своя. Само не давайте дума пред цялата маса, преди да сте помислили насаме.","Your circle widens through them — friends, invitations, useful people you would never have met alone. You are proud of the company and take it on as your own. Just do not give your word in front of the whole table before you have thought it over alone."
"jupiter","7","sun","12","Най-важното между вас се случва зад затворена врата и не се разказва. Има кой да ви помага, без да го обявява, и вие му връщате същото. Дръжте се настрана от щедрост, за която после няма никакво доказателство.","The important part between you happens behind a closed door and is not talked about. Someone helps you without announcing it and you return the favour the same way. Keep clear of generosity that later has no proof of ever happening."
"jupiter","7","moon","1","Другият ви дава по-широк живот и това веднага личи по вас — как изглеждате, как влизате в стая. Настроението ви идва от къщи и не се крие. Дадете ли дума в хубав момент, после я плащате и в лошия.","The other one gives you a wider life and it shows on you at once — how you look, how you walk into a room. Your mood comes from home and does not hide. Give your word in a good moment and you still pay it in a bad one."
"jupiter","7","moon","2","Покрай човека до вас идват повече пари, повече храна на масата, повече неща за прибиране. Спокойни сте, когато има запас, и щедри, докато го има. Само че щедростта ви е на вълни и обикновено обещавате в най-пълния ден.","More money comes with the person beside you, more food on the table, more things to put away. You are calm when there is a reserve and generous while it lasts. But your giving runs in waves, and you tend to promise on the fullest day."
"jupiter","7","moon","3","Човекът е близък по някакъв стар начин — от квартала, от роднините, от училище. Разширява ви света с приказка и с обаждания, а вие се привързвате към гласа му. Мълчи ли няколко дни, целият план ви се разклаща.","The person is close in some old way — from the neighbourhood, from the relatives, from school. They widen your world with talk and phone calls and you get attached to the voice. A few days of their silence and the whole plan wobbles."
"jupiter","7","moon","4","Всичко се решава в къщата — по-голяма маса, повече хора, отворена врата. Другият ви носи семейство наготово и вие бързо го приемате за свое. Пазете се да не поемете грижата за всички, защото ви е било приятно да я обещаете.","It all gets settled in the house — a bigger table, more people, an open door. The other one brings a family ready-made and you take it on as yours quickly. Careful not to end up caring for everyone because offering felt good."
"jupiter","7","moon","5","Растете през децата и през веселбата — рождени дни, гости, много вдигане на чаши. Онзи до вас ви прави мек и щедър и вие обичате да сте такъв. Само дръжте едно око на разходите, докато ви е хубаво.","You grow through children and through celebration — birthdays, guests, plenty of raised glasses. The one beside you makes you soft and open-handed and you like being that. Just keep one eye on the spending while the mood is good."
"jupiter","7","moon","6","Близостта идва през грижата в делника — кой готви, кой вози, кой ходи по лекари. Другият ви носи повече работа и повече сигурност едновременно. Не приемайте всяка задача с усмивка, после ще ви тежат.","Closeness arrives through the daily looking-after — who cooks, who drives, who goes to the doctor with whom. The other one brings you more work and more security at the same time. Do not take on every task with a smile; they get heavy later."
"jupiter","7","moon","7","Другият е мек, топъл и обгрижващ, и точно затова животът с него става по-голям. Настроението в двойката се мени бързо и вие го следвате, вместо да го водите. Обещанията тук се дават нежно и после никой не помни кой какво е казал.","The other one is soft, warm and caring, and that is exactly why life gets bigger with them. The mood between you shifts fast and you follow it instead of leading it. Promises here are made gently, and afterwards nobody remembers who said what."
"jupiter","7","moon","8","Идват пари, които не сте изкарали сам — от неговите близки, от наследство, от общ влог. Привързвате се към сигурността, а после ви е трудно да питате открито. Изяснете кой какво дава, докато още сте в добро настроение.","Money arrives that you did not earn alone — from their people, from an inheritance, from a joint account. You get attached to the security and then find it hard to ask outright. Sort out who gives what while the mood is still good."
"jupiter","7","moon","9","Домът ви се мести — друг град, друга страна, чужди роднини на масата. Привързвате се към новото място по-бързо, отколкото сте очаквали. Само не обещавайте цял живот там, преди да сте изкарали една зима.","Home moves — another city, another country, in-laws at the table who speak differently. You get attached to the new place faster than you expected. Just do not promise a whole life there before you have got through one winter."
