"planet","house","ruler","ruler_house","bg","en"
"mercury","3","mercury","3","Приказката ви е бърза, ръцете също, и нищо тук не минава през чужда воля. Пишете, звъните, обяснявате — и точно с това си вършите работата. Внимавайте само да не почвате пет неща, за да не довършите нито едно.","Your talk is quick and so are your hands, and nothing here passes through anyone else's will. You write, you call, you explain, and that is exactly how you get things done. Just watch that you do not start five things and finish none."
"mercury","3","sun","2","С думи си изкарвате хляба и това ви е гордост. Обяснявате, продавате, преподавате — плаща се на онзи, който говори ясно. Само не бъркайте твърдия тон с висока цена.","You earn your bread with words and you are proud of it. You explain, you sell, you teach — the clear speaker is the one who gets paid. Just do not confuse a firm tone with a high price."
"mercury","3","sun","3","Заговорите ли, стаята се обръща — не защото викате, а защото звучите сигурно. Брат, съсед, колега: всичко минава лично през вас и това ви харесва. Тежкото е да слушате, докато друг говори по-дълго от вас.","When you start talking the room turns, not because you raise your voice but because you sound certain. A sibling, a neighbour, a colleague — it all runs through you personally and you like it that way. The hard part is listening while somebody else talks longer than you."
"mercury","3","sun","4","Каквото се каже вкъщи, остава закон за вас. Спорите с брат или съсед, а решението пада на бащината маса. Докато там не ви признаят, никакъв разговор навън не ви върши работа.","Whatever is said at home stays law for you. You argue with a brother or a neighbour, and the verdict lands at the family table. Until you are acknowledged there, no conversation outside does the job."
"mercury","3","venus","12","Говорите леко и мило, а най-важното си го премълчавате. Оправяте нещата тихо, с една дума на когото трябва, без да се вижда. Ако някой ви е сърдит, ще го научите последни.","You talk easily and kindly, and keep the important part to yourself. Things get settled quietly, with a word to the right person and nobody watching. If somebody is angry with you, you will be the last to find out."
"mercury","3","venus","1","Хората ви слушат, защото им е приятно да ви слушат. Усмивка, две меки думи и спорът се разтапя — правите го, без да мислите. Опасното е, че така заобикаляте разговорите, които трябва да са неприятни.","People listen to you because listening to you is pleasant. A smile, two soft words, and the argument melts — you do it without thinking. The risk is that this way you dodge the conversations that ought to be uncomfortable."
"mercury","3","venus","2","Хубавата дума ви носи пари — с нея се уреждате по-лесно, отколкото с натиск. Умеете да поискате така, че никой да не се засегне. Само внимавайте да не продавате евтино, за да останете симпатични.","A pleasant word brings you money — you get further with it than with pressure. You know how to ask for something so that nobody takes offence. Just be careful not to sell cheap in order to stay liked."
"mercury","3","venus","3","С вас се говори лесно и всички го знаят — затова при вас идват да се сдобряват. Брат, съседи, колеги: държите връзките гладки почти без усилие. Отвън никой не ви нарежда, но и вие рядко казвате твърдо „не“.","You are easy to talk to and everyone knows it, so people come to you to make peace. A brother, the neighbours, colleagues — you keep the lines smooth almost without effort. Nobody outside gives you orders, but you rarely say a hard no."
"mercury","3","venus","4","Приказката ви е приятна навън, а мирът си го търсите вкъщи. Топло ли е там и подредено, говорите спокойно с всеки; ако не е, всяка дума ви идва тежка. Затова дребните разправии с близките ви струват повече, отколкото признавате.","Your talk is pleasant out in the world, but the peace you need you look for at home. When it is warm and tidy there, you speak calmly to anybody; when it is not, every word comes out heavy. Small quarrels with the family cost you more than you admit."
"mercury","3","venus","5","Думите ви стават най-хубави, когато се забавлявате — тогава разказвате така, че всички слушат. Флиртът, шегата, играта с деца ви отварят устата повече от всяка работа. Тъкмо там се завързват и познанствата, които после ви вършат работа.","Your words are at their best when you are enjoying yourself — then you tell a story and everyone listens. Flirting, joking, playing with children loosens your tongue more than any job does. And that is where the connections that later come in useful get made."
"mercury","3","venus","6","Хубавата дума ви е инструмент за всеки ден — с нея вършите работата си по-леко от другите. Уреждате срещи, пишете, обаждате се, и хората ви правят услуги, защото сте приятни. Само не забравяйте, че и в милия тон трябва да има срок.","The pleasant word is your everyday tool — it gets the job done with less friction than anyone else manages. You arrange appointments, you write, you call, and people do you favours because you are agreeable. Just remember that even a kind tone needs a deadline in it."
"mercury","3","moon","1","Говорите според настроението, а то ви минава по лицето, преди да сте отворили уста. Един ден разказвате на всички, на другия не ви се обажда на никого. Хората свикват да ви четат — оставете ги.","You talk according to your mood, and the mood crosses your face before you open your mouth. One day you tell everybody everything, the next you do not want to ring a soul. People learn to read you, and you may as well let them."
"mercury","3","moon","2","Приказката ви носи пари, но на вълни — веднъж пълно, веднъж тихо. Обажданията и познанствата ви изкарват повече от твърдата заплата. Затова заделяйте в добрите месеци, докато телефонът звъни.","Talk brings you money, but in waves — a full month, then a quiet one. Calls and acquaintances earn you more than any fixed salary. So put something aside in the good months, while the phone is still ringing."
"mercury","3","moon","3","Носите в главата си всичко казано покрай вас — кой какво е обещал, кой как е погледнал. Оттам идват и добрите новини, и излишните тревоги. Сестра, брат или съсед ви променят деня с едно изречение.","You keep in your head everything said around you — who promised what, who gave which look. That is where both your good news and your needless worries come from. A sister, a brother or a neighbour can turn your whole day with one sentence."
"mercury","3","moon","4","Каквото чуете вкъщи, оцветява целия ви ден. Обаждате се на майка си и на близките по-често, отколкото си признавате, и оттам ви идва спокойствието. Скарате ли се с брат или съсед, търсите утеха точно там.","Whatever you hear at home colours the whole day. You call your mother and the family more often than you admit, and that is where your calm comes from. Fall out with a brother or a neighbour and it is exactly there that you go for comfort."
"mercury","3","moon","5","Разказвате най-хубаво, когато има кой да ви слуша с отворена уста — деца, публика, влюбен човек. Настроението ви се вдига от играта, а с него и приказката. Внимавайте само да не обещаете в разгара нещо, което после да разваляте.","You tell things best when somebody listens open-mouthed — children, an audience, someone in love with you. Play lifts your mood, and the talk rises with it. Just be careful not to promise something in the heat of it that you later have to take back."
