"planet","house","ruler","ruler_house","bg","en"
"mars","6","mars","6","Не спирате, докато нещо не е свършено, и после веднага търсите следващото. Тялото ви върши онова, което други бавят с приказки, и то плаща сметката. Никой не ви подкарва отвън: вие сте и конят, и камшикът.","You do not stop until a thing is finished, and then you look straight for the next one. Your body does what others delay with talk, and your body pays for it. Nobody drives you from outside: you are the horse and the whip at once."
"mars","6","sun","1","Влизате и се хващате веднага, защото не понасяте да гледате как някой се мотае. Правите го така, че да е ваше и да се вижда, че е ваше. Тялото ви е и оръжието, и цената: с него блестите и с него плащате.","You walk in and start at once, because watching somebody dawdle is unbearable. You do it so that it is yours and so that anyone can tell it is yours. Your body is both the weapon and the price: it makes you shine and it takes the bill."
"mars","6","sun","2","Впрягате се, когато накрая има ясна сума, и се гордеете с изкараното от собствените си ръце. Хващате се и за черната работа, стига да плаща и стига да не ви подценяват. Пресилите ли се за пари, после ги давате на лекар.","You throw yourself in when there is a clear figure at the end, and you are proud of what your own hands earn. You will take the rough work too, as long as it pays and nobody talks down to you. Overdo it for money and you hand the money to a doctor."
"mars","6","sun","3","Дребните ходения и обажданията ви пълнят деня и вие ги минавате почти на бегом. Държите последната дума в спор с колега или със съсед, дори когато въпросът е за нищо. Оставяйте си въздух между две задачи, иначе говорите остро без причина.","Short errands and phone calls fill your day and you get through them almost at a run. You want the last word with a colleague or a neighbour, even when the matter is nothing. Leave some air between two tasks or you start speaking sharply for no reason."
"mars","6","sun","4","Работите здраво, но кой е първи се решава вкъщи: там ви казват дали е било достатъчно. Ремонт, двор, болен родител, и цялата къща се крепи на вашите ръце. Седнете ли да си починете, веднага започва вината, и точно това е капанът.","You work hard, but who comes first is decided at home; that is where you are told whether it was enough. Repairs, the yard, an ailing parent, and the whole house rests on your hands. Sit down to rest and the guilt starts immediately, and that is the trap."
"mars","6","sun","5","Трябва ви състезание: сложите ли си резултат, който да се види, вършите двойно. Спортът, играта и децата изгарят напрежението, което иначе излиза върху колегите. Внимавайте да не превърнете всяка дребна задача в доказване.","You need a contest: give yourself a score somebody will see and you do twice as much. Sport, play and children burn off the pressure that otherwise lands on your colleagues. Watch that you do not turn every small job into proof of something."
"mars","6","sun","6","Свършеното е вашата гордост и се хващате за него преди всички останали. Търпението ви към бавните е кратко и понякога го казвате на глас. Няма кой да ви наложи мярка отвън; ако вие не се спрете, никой няма.","What gets finished is your pride, and you reach for it before anybody else does. Your patience with slow people is short and sometimes you say so out loud. No one imposes a measure on you from outside; if you do not stop yourself, nobody will."
"mars","6","sun","7","Хващате се с хъс, но кой каква част носи се урежда с човека отсреща. Партньор или клиент ви дава темпото и същият човек ви вади от кожата, щом се забави. Кажете си условията отначало и половината търкане изчезва.","You go at it with appetite, but who carries which part is settled with the person across from you. A partner or a client sets your pace, and the same person drives you up the wall the moment they stall. State your terms at the start and half the friction disappears."
"mars","6","sun","8","Влизате в задачи, от които други се дърпат: тежки, рискови, с чужди пари вътре. Гордеете се, че издържате там, където някой би се пречупил, и точно за това ви викат. Само че напрежението не си отива само, а отива в тялото ви.","You take on the jobs others back away from: heavy, risky, other people's money involved. You are proud of holding up where somebody else would crack, and that is exactly what you get called for. But the tension does not leave on its own; it goes into your body."
"mars","6","sun","9","Работите с хъс, докато има накъде да се расте: учене, друг град, непознати хора. Затвори ли се пътят, започвате да се дразните от всяка дребна подробност. Ходенето и новото знание ви вдигат по-бързо от лежането.","You work with appetite as long as there is somewhere to grow: study, another city, unfamiliar people. Close that road off and every small detail starts to annoy you. Travel and new learning lift you faster than lying down."
