"planet","house","ruler","ruler_house","bg","en"
"uranus","9","sun","1","Не приемате готова вяра и това ви е било скъпо. Стигнали сте до убежденията си сами, с проба и грешка. Тук авторитетът не ви впечатлява, но фактът да.","You do not accept a ready-made faith and it has cost you. You reached your convictions yourself, by trial and error. Authority does not impress you here; a fact does."
"uranus","9","sun","2","Учили сте нещо, за което няма готова кариера. Знанието ви носи, когато го превърнете в услуга. Само не чакайте диплома, за да поискате цена.","You studied something with no ready-made career attached. Your knowledge pays once you turn it into a service. Just do not wait for a certificate before naming a price."
"uranus","9","sun","3","Спорите за големите въпроси и не пестите думи. Близките ви смятат за прекалено директен. Тук един довод, казан веднъж, работи повече от десет повторени.","You argue about the big questions and you do not ration words. The people close by find you too direct. One argument said once works better here than ten repeated."
"uranus","9","sun","4","Тръгнали сте далеч от мястото, където са очаквали да останете. Вкъщи не са разбрали защо. Тук връщането е гостуване, не отчет.","You went far from where you were expected to stay. At home they never understood why. Coming back here is a visit, not a report."
"uranus","9","sun","5","Учите заради самото откриване и това ви е забавлението. Влюбвате се в идеи, преди да сте ги проверили. Само довършете една от тях.","You study for the discovery itself and that is your amusement. You fall for ideas before checking them. Just finish one of them."
"uranus","9","sun","6","Занаятът ви е дошъл по обиколен път и вие го владеете иначе. Учили сте се, докато сте работили. Само не сменяйте посоката при първата скука.","Your trade came by a roundabout route and you handle it differently. You learned while working. Just do not change direction at the first boredom."
"uranus","9","sun","7","Партньорът ви е от друг свят и точно това ви учи. Спорите за принципи и растете от разликата. Тук уважението идва преди съгласието.","Your partner comes from another world and that is exactly what teaches you. You argue about principles and grow on the difference. Respect here comes before agreement."
"uranus","9","sun","8","Убежденията ви са минали през обрат и затова са ваши. Знанието ви е дошло, когато нещо се е сринало. Тук истината се плаща, но остава.","Your convictions went through an upheaval and that is why they are yours. Your knowledge arrived when something collapsed. Truth is paid for here, and it stays."
"uranus","9","sun","9","Тук всичко е на място: мислите свободно и стигате далеч. Хората ви търсят, защото не повтаряте общото. Само не превръщайте несъгласието в занаят.","Here everything sits in place: you think freely and you get far. People come to you because you do not repeat the common view. Just do not turn disagreement into a trade."
"uranus","9","sun","10","Чуждото ви носи име — език, метод, опит отвън. Пробивате с това, което тук още не се прави. Само довършвайте започнатото.","The foreign brings you a name — a language, a method, experience from outside. You break through with what is not done here yet. Just finish what you start."
"uranus","9","sun","11","Идеите ви идват от кръг, който мисли иначе. Каузите ви са общи и вие сте гласът. Само проверявайте дали каузата е ваша.","Your ideas come from a circle that thinks differently. Your causes are shared and you are the voice. Just check whether the cause is yours."
"uranus","9","sun","12","Има убеждение, за което не спорите с никого. Стигнали сте до него сами и в тишина. Кажете го поне на един човек.","There is a conviction you argue about with nobody. You reached it alone and in silence. Say it to at least one person."
"uranus","9","moon","1","Вярата ви се сменя, когато нещо ви трогне, не когато ви убедят. Пътуването ви подрежда повече от съвет. Тук доверието на усета е основателно.","Your convictions change when something moves you rather than when somebody convinces you. Travel sorts you out more than advice does. Trusting the instinct here is justified."
