"kind","sign","outcome","title_bg","title_en","bg","en"
"descendant","aries","met","Някой, който решава пръв","Somebody who decides first","Търсиш човек, който има собствена воля, действа и не чака някой да го поведе. Този човек носи точно тази директност — между вас има инициатива, реакция и усещане, че не се налага всичко да движиш сам.","You want somebody beside you who does not hesitate and moves first. Passivity tires you faster than a fight does. This person has exactly that momentum, which is why things start moving between you."
"descendant","taurus","met","Човек, който се не поклаща и е стабилен","Somebody who does not wobble","Имаш нужда от партньор, който е спокоен, устойчив и не превръща всяка промяна в криза. Този човек носи повече стабилност, отколкото нервност, и присъствието му ти позволява да се отпуснеш в отношенията.","You need a calm, well-planted person who does not panic. Nervousness across the table transfers to you at once. This person carries the weight you are looking for, and you settle beside them."
"descendant","gemini","met","Да има какво да си говорите","Enough to talk about","Имаш нужда от човек, с когото умът ти остава буден — разговор, шега, въпроси и движение между теми. Този човек носи тази лекота и затова близостта не се усеща като мълчаливо съжителство.","A silent companion becomes a stranger to you quickly, however good they are. You are after lightness, jokes and curiosity. This person brings them, and the conversation between you does not run out."
"descendant","cancer","met","Някой, който се грижи","Somebody who looks after you","Търсиш партньор, при когото има усещане за дом, грижа и място, където можеш да се върнеш. Този човек не оставя близостта само на ниво договорка — внася топлина и лично отношение, което ти помага да се чувстваш у дома.","You are looking for somebody you can come back to, warm and homely and attentive. Coldness puts you off even when it is polite. This person looks after you without presenting it as a favour."
"descendant","leo","met","Човек, който не се крие","Somebody who does not hide","Имаш нужда от ярък човек с присъствие, сърце и достатъчно увереност да бъде видим. Този човек не се свива прекалено и не се страхува да покаже себе си, което поддържа интереса и живостта между вас.","You want somebody bright across from you, unembarrassed by themselves. A small, cautious person leaves you cold. This person has enough presence to keep you interested."
"descendant","virgo","met","Някой, който върши работа","Somebody who is actually useful","Цениш партньор, който забелязва какво трябва да бъде направено и го прави. Този човек показва отношението си чрез конкретни действия, така че не се налага постоянно да превеждаш нуждите си на задачи.","You value somebody who helps in deeds rather than in talk. Promises with nothing behind them disappoint you deeply. This person notices what is needed and simply does it."
"descendant","libra","met","Човек, с когото е лесно","Somebody easy to be with","Търсиш равнопоставеност, такт и способност да се търси решение без постоянна борба за надмощие. Този човек има усет към взаимността и прави място за твоето мнение, без да превръща всяко различие в конфликт.","You want fairness and a decent tone rather than the upper hand. Rudeness puts you off even when it is right. This person knows how to get along and keeps the balance between you."
"descendant","scorpio","met","Някой, който не се плаши","Somebody who is not frightened","Имаш нужда от човек, който не се плаши от дълбочина, истина и емоционална интензивност. Този човек не бяга веднага, щом стане неудобно, и така между вас има пространство за близост, която не остава само на повърхността.","A shallow companion bores you quickly. You want somebody who can take the truth and does not run at the first awkward moment. This person goes deep and stays."
"descendant","sagittarius","met","Човек, който не те връзва","Somebody who does not tie you down","Търсиш откритост, движение, честност и усещане, че връзката не се превръща в клетка. Този човек оставя място за растеж и не изисква да се свиваш, за да запазиш отношенията.","You are after openness, movement and a straight word with no detours. Pettiness suffocates you. This person takes the wide view and lets you breathe."
"descendant","capricorn","met","Някой, на когото се разчита","Somebody who can be relied on","Имаш нужда от партньор, който поема отговорност и може да се разчита на него в дългосрочен план. Този човек показва сериозност чрез действия и не оставя цялата тежест на общия живот да пада върху теб.","You want somebody who carries responsibility without being reminded. Flippancy puts you off however entertaining it is. This person is serious where it matters."
"descendant","aquarius","met","Човек, който мисли самостоятелно","Somebody who thinks for themselves","Търсиш човек със собствен ум, който не живее само според чуждите правила. Този човек има индивидуалност и оставя и на теб правото да бъдеш различен, без да се опитва да те напасва към общоприетото.","You are looking for somebody unusual who does not repeat what others say. Conformity bores you and makes you a little uneasy. This person has their own head and does not want to remake you."
"descendant","pisces","met","Някой изтънчен","Somebody gentle","Имаш нужда от мекота, състрадание и способност да се види човекът зад поведението му. Този човек не свежда всичко до правилно и грешно и така ти дава повече пространство за нежност и прошка.","A hard, practical person is not enough for you even when they are right. You are after gentleness, imagination and the ability to forgive. This person has them, and you soften beside them."
"imum_coeli","aries","met","Дом, в който има движение","A home with some movement in it","Твоята вътрешна основа има нужда от живот, движение и усещане, че нещо започва. Този човек внася активност в общото пространство и не позволява домът да се превърне в застинала среда.","The place you set off from has to be alive rather than a museum. Too much quiet makes you feel surplus to requirements. There is action around this person, and that is why it feels like your own place."
"imum_coeli","taurus","met","Да не се мести всяка година","Nothing that moves every year","Имаш нужда от стабилна основа, предвидимост и физическо усещане за комфорт. Този човек умее да задържа нещата, да създава устойчивост и да превръща пространството в място, в което можеш да се вкорениш.","Your roots want to stay put long enough to count. Frequent changes at the base knock you off balance. This person keeps things where they are and lets you take hold."
"imum_coeli","gemini","met","Къща, в която се говори","A house where people talk","Имаш нужда домът да не бъде мълчалив — да има разговори, идеи, новини и движение между хората. Този човек внася комуникация и любопитство, така че общото пространство остава живо.","A silent household weighs on you more than a row does. You need talk, news and people coming and going. That is exactly how it is around this person."
"imum_coeli","cancer","met","Истински дом, не квартира","A real home, not lodgings","Имаш нужда от място, което те приема без условия и постепенно се превръща в „наше“. Този човек създава усещане за грижа и принадлежност, така че домът не е просто помещение, а емоционална база.","You need a place that takes you in without conditions. Formal cohabitation leaves you alone. This person makes a real home rather than a tidy room."
"imum_coeli","leo","met","Място, с което да се гордееш","Somewhere you are proud of","Имаш нужда от дом, който носи личен отпечатък и в който има повод да се гордееш с живота, който си изградил. Този човек внася топлина, вкус и желание общото пространство да бъде нещо специално.","You want your base to be something you show with pleasure. Modest and grey depresses you even when it is comfortable. This person brings some shine into the ordinary day."
"imum_coeli","virgo","met","Ред, който успокоява","Order that calms","Имаш нужда от подредена и функционална среда, защото външният хаос лесно се пренася вътре в теб. Този човек забелязва детайлите и помага ежедневието да работи, без редът да се превръща в постоянен източник на напрежение.","Chaos around you turns into chaos inside you. You need order, cleanliness and jobs that are finished. This person keeps it that way without making it a torment."
"imum_coeli","libra","met","Без викове вкъщи","No shouting at home","Имаш нужда домът да бъде място за мир, красота и нормален тон, а не арена за постоянна борба. Този човек има усет към равновесието и помага напрежението да не се превръща в атмосферата на целия дом.","Tension at the base costs you far more than you admit. You need peace and a decent tone where you actually live. This person avoids the unnecessary clash."
"imum_coeli","scorpio","met","Да няма премълчано","Nothing swept under","Имаш нужда в дома да няма важни неща, които всички усещат, но никой не назовава. Този човек е способен да влиза в трудните разговори и да понася по-дълбоката емоционална истина, вместо да я замита.","Hidden tension at home torments you more than an open argument does. You need things said all the way through, even when it hurts. This person does not run from the heavy conversation."
"imum_coeli","sagittarius","met","Дом, който не е затвор","A home that is not a cage","Имаш нужда от дом, който дава корени, без да се превръща в клетка. Този човек уважава движението, личното пространство и правото да излизаш към света и после да се връщаш.","You need your base to let go, so that you can leave and come back. A narrow, controlled life suffocates you. This person does not keep the door shut."
"imum_coeli","capricorn","met","Основа, която се гради","A base that gets built","Имаш нужда от основа, която се изгражда бавно и остава. Този човек мисли в перспектива, поема трудната част и има търпение да се създаде нещо, което няма да се разпадне при първата промяна.","You want your place to mean something years from now, not only today. The temporary makes you restless even when it is convenient. This person builds for the long run and does not dodge the effort."
"imum_coeli","aquarius","met","Дом без правила отвън","A home with no rules imported","Имаш нужда домът да бъде ваш, а не проект на чуждите очаквания. Този човек допуска нестандартни решения и не поставя общественото „така се прави“ над вашия собствен начин на живот.","You cannot bear a life arranged around other people's expectations. You want yours to be yours, even if it looks odd from outside. This person does not arrange things around what is customary."
"imum_coeli","pisces","met","Място, където можеш да се разпаднеш","Somewhere you can fall apart","Имаш нужда от място, където не трябва постоянно да си събран, силен и функционален. Този човек създава пространство за мекота и човешка уязвимост, в което можеш да свалиш гарда, без да трябва да обясняваш защо.","You need somewhere you are not required to hold it together. A strict household wears you down from the inside. This person accepts the weak part too and does not comment on it."
