"planet","house","ruler","ruler_house","bg","en"
"venus","4","venus","4","Домът ви е направен за удоволствие — светло, подредено, с нещо хубаво на масата. Тук никой не ви казва как да е: вие решавате какво е уютно. Слабото място е, че излизате все по-рядко.","Your home is made for pleasure — light, tidy, something good on the table. Nobody tells you how it should be here: you decide what counts as comfortable. The weak spot is that you go out less and less."
"venus","4","sun","1","Вие сте човекът, който прави мястото приятно, и всички го знаят. Гордеете се с дома си и с това как изглежда. Само не свързвайте цялата си стойност с една подредена къща.","You are the one who makes the place pleasant, and everybody knows it. You take pride in your home and in how it looks. Just do not tie your whole worth to a tidy house."
"venus","4","sun","2","Домът ви иска пари и вие ги давате с удоволствие. Купувате бавно, но хубаво, и каквото влезе, остава. Тук уютът се вижда в сметките, не само в стаите.","Your home wants money and you give it gladly. You buy slowly but well, and what comes in stays. Comfort here shows in the accounts, not only in the rooms."
"venus","4","sun","3","Вкъщи се говори много и приятно и точно това го прави дом. Роднините наблизо влизат и излизат и вие им отваряте. Един хубав разговор оправя повече от нова мебел.","There is a lot of pleasant talk in your home and that is what makes it one. Relatives nearby come and go and you open the door to them. One good conversation mends more than new furniture."
"venus","4","sun","4","Тук всичко е на място: домът е и удоволствието, и смисълът ви. Правите го такъв, че хората да искат да останат. Внимавайте само да не се затворите в него.","Here everything sits in place: the home is both your pleasure and your point. You make it so that people want to stay. Just take care not to shut yourself inside it."
"venus","4","sun","5","Къщата ви е за радост — деца, гости, музика, повод без повод. Влагате вкус в празника, не само пари. Стане ли тихо и празно, веднага ви личи.","Your house is for gladness — children, guests, music, an occasion without an occasion. You put taste into the celebration, not only money. When it goes quiet and empty, it shows on you at once."
"venus","4","sun","6","Уютът ви идва от свършена работа — сготвено, изпрано, наредено. Грижата е вашият начин да покажете обич. Само не превръщайте дома в постоянна смяна.","Your comfort comes from work done — cooked, washed, put away. Care is your way of showing love. Just do not turn the home into a permanent shift."
"venus","4","sun","7","Домът се прави заедно и без партньор ви се струва недовършен. Отстъпвате, за да е мирно, и обикновено си струва. Внимавайте мирът да не се плаща само от вас.","The home is made together, and without a partner it feels unfinished to you. You give way to keep the peace, and it is usually worth it. Watch that the peace is not paid for by you alone."
"venus","4","mercury","1","Говорите за дома си с удоволствие и хората го усещат. Знаете какво къде е и как да го подредите с малко. Само не обяснявайте вкуса си на всеки.","You talk about your home with pleasure and people feel it. You know where everything is and how to arrange it with little. Just do not explain your taste to everyone."
"venus","4","mercury","2","Броите какво струва уютът и го правите изгодно. Намирате хубавото на добра цена и се радвате двойно. Тук сметките и вкусът вървят заедно.","You count what comfort costs and you get it at a good price. You find the nice thing cheap and enjoy it twice. Accounts and taste go together here."
"venus","4","mercury","3","Домашният мир се държи с разговори и обаждания. С брат, сестра или съседи си говорите и това пази тишината. Едно навреме казано изречение спестява седмица напрежение.","Peace at home is held by conversations and phone calls. With a sibling or the neighbours you keep talking, and that keeps things quiet. One sentence said in time saves a week of tension."
"venus","4","mercury","4","Вкъщи все уреждате нещо приятно — покупка, ремонт, подредба. Мислите за мястото и то ви отвръща. Само не правете от дома проект без край.","At home you are always arranging something pleasant — a purchase, a repair, a rearrangement. You think about the place and it answers you. Just do not make the home a project with no end."
"venus","4","mercury","5","Домът ви е за игра и приказки — с деца, с гости, с музика. Учите ги на хубавото, без да ги поучавате. Тук лекотата е вашият метод.","Your home is for play and talk — with children, with guests, with music. You teach them what is good without lecturing. Lightness is your method here."
"venus","4","mercury","6","Обичате домът да работи — всичко по местата си, всичко изпипано. Малките подредби ви носят повече спокойствие от голям ремонт. Само не се хващайте за дребното, когато важното чака.","You like a home that works — everything in its place, everything neat. Small tidyings bring you more peace than a big renovation. Just do not grab the small thing when the important one is waiting."
"venus","4","mercury","7","Домашните въпроси се решават с уговорка, не с настроение. Партньорът и вие се разбирате с думи и това пази мира. Каквото не е казано, тежи и на двама ви.","Household matters get settled by agreement, not by mood. You and a partner understand each other in words, and that keeps the peace. What is left unsaid weighs on both of you."
"venus","4","moon","1","Настроението ви оцветява цялата къща и хората го долавят. Правите уюта за себе си и другите се радват покрай това. Не ви ли е добре, стаите веднага го показват.","Your mood colours the whole house and people pick it up. You make the comfort for yourself and the others benefit along the way. When you are not well, the rooms show it at once."
"venus","4","moon","2","Спокойно ви е, когато има запас — в хладилника, в шкафа, в банката. Хубавите неща вкъщи са вашата сигурност, не показност. Опразни ли се, започвате да се стягате.","You are calm when there is a reserve — in the fridge, the cupboard, the bank. The good things at home are your security, not display. When it empties you start to tighten up."
"venus","4","moon","3","Вкъщи ви трябва кой да ви изслуша, иначе не ви е уютно. Роднините наблизо ви носят и радост, и клюка. Тук тишината ви е по-тежка от шума.","At home you need somebody to listen, otherwise it is not comfortable. Relatives nearby bring you both gladness and gossip. Silence weighs on you more than noise here."
"venus","4","moon","4","Уютът ви идва на вълни — днес всичко ви радва, утре нищо не е достатъчно. Не пипайте къщата в лош ден. На добър ден правите повече от седмица планиране.","Your comfort comes in waves — today everything pleases you, tomorrow nothing is enough. Do not touch the house on a bad day. On a good one you do more than a week of planning."
"venus","4","moon","5","Радвате се на дома, когато има кого да глезите. Деца, гости, малки празници — това ви е храната. Няма ли ги, започвате да местите мебели без причина.","You enjoy the home when there is somebody to spoil. Children, guests, small celebrations — that is your food. Without them you start moving furniture for no reason."
"venus","4","moon","6","Обичта ви вкъщи е в грижата — храна, чисто, някой болен, за когото се гледа. Приятно ви е, когато има за кого. Само после не се чудете защо сте уморени.","Your affection at home is care — food, clean, somebody ill to be looked after. You are content when there is somebody to do it for. Just do not wonder afterwards why you are tired."
"venus","4","moon","7","Уютът ви зависи от човека до вас повече, отколкото признавате. Добре ли сте двамата, къщата диша. Тук се учите да не приемате всяко негово настроение за свое.","Your comfort depends on the person beside you more than you admit. When the two of you are fine, the house breathes. Here you learn not to take their every mood as your own."
"venus","4","moon","8","Има вкъщи тема, която не се казва, и вие я усещате. Стари пари, стара обида, нечия тайна. Извади ли се на светло, домът ви олеква.","There is a subject at home nobody says out loud, and you feel it. Old money, an old grievance, somebody's secret. Once it comes into the light, your home lightens."
"venus","4","moon","9","Домът ви е на едно място, а мисълта ви на друго. Възможно е да живеете далеч от родното или да мечтаете за това. Уютът ви идва с нови гледки, не с познати.","Your home is in one place and your mind in another. You may live far from where you were born, or dream of it. Comfort comes to you with new views, not familiar ones."
"venus","4","moon","10","Каквото става вкъщи, влиза в работата ви и обратното. Държите на това как изглежда домът пред хората. Тук е добре да имате поне една стая само за вас.","What happens at home gets into your work, and the other way round. You mind how the home looks to other people. Best here to keep at least one room only for yourself."
"venus","4","moon","11","Вкъщи все минават приятели и това ви е приятно. Домът ви е отворен и там се събират. Само помнете, че и на вас ви трябва празна вечер.","Friends are always passing through and you like it. Your home is open and that is where people gather. Just remember that you need an empty evening too."
"venus","4","moon","12","Домът ви е тихо място и вие го пазите такъв. Има стая или час, в който не искате никого. Това не е бягство, стига после да излизате.","Your home is a quiet place and you keep it that way. There is a room, or an hour, when you want nobody. That is not an escape, as long as you come out afterwards."
"venus","4","mars","1","Вие вдигате къщата и вие вдигате скандала. Правите с ръцете си и после търсите мира. Без вашия натиск нищо не се променя там.","You put the house up and you start the row. You make things with your own hands and then look for the peace. Nothing changes there without your push."
"venus","4","mars","2","Спори се за пари, а вие искате да е и хубаво. Плащате и оттам ви е думата. Само не мерете обичта с това кой колко е внесъл.","There is arguing about money and you want it beautiful as well. You pay, so you have the say. Just do not measure affection by who put in what."
"venus","4","mars","3","С роднини и съседи има искри и после почерпка. Казвате го остро, после го оправяте с чар. Тук е добре да не отваряте стар спор за нищо.","With relatives and neighbours there are sparks, then a drink together. You say it sharply, then mend it with charm. Better here not to open an old quarrel over nothing."
