"planet","house","ruler","ruler_house","bg","en"
"pluto","2","sun","1","Изкарвате със себе си — с това, което сте, а не с това, което умеете. Хората плащат за присъствието ви. Не се продавайте на дребно.","You earn with yourself — with what you are rather than what you can do. People pay for your presence. Do not sell yourself off cheaply."
"pluto","2","sun","2","Тук парите са въпрос на достойнство и вие не се пазарите за малко. Или добра цена, или нищо. Само проверявайте кое е гордост и кое е разум.","Here money is a matter of dignity and you will not haggle over a little. Either a good price or nothing. Just check which part is pride and which is sense."
"pluto","2","sun","3","Печелите, когато обясните защо струва толкова. Думите ви вдигат цената. Кажете числото на глас и без извинение.","You earn when you explain why it costs that much. Your words raise the price. Say the number out loud and without apology."
"pluto","2","sun","4","Идва ви от семейството нещо, за което не се говори — имот, дълг или навик да пестите. Тежестта е стара. Разберете точно какво е ваше.","Something reaches you from the family that never gets discussed — a property, a debt, or a habit of saving. The weight is old. Find out exactly what is yours."
"pluto","2","sun","5","Влагате в нещо, което ви носи, защото го обичате. Сърцето и сметката ви са свързани. Само не залагайте цялото на едно.","You put money into something that pays you because you love it. Your heart and your ledger are connected. Just do not stake everything on one thing."
"pluto","2","sun","6","Изкарвате с усилие, за което малцина биха се хванали. Гордеете се тихо с това. Поставете срок, преди тялото да го е поставило.","You earn through an effort few would take on. You are quietly proud of it. Set a limit before your body sets one."
"pluto","2","sun","7","Приходът ви минава през един човек и вие го знаете. Зависимостта ви е неудобна. Направете си втора линия.","Your income passes through one person and you know it. The dependency makes you uncomfortable. Build yourself a second line."
"pluto","2","sun","8","Парите ви идват от чужди пари — заеми, наследство, дял. Работите с това, което не е ваше, и го пазите точно. Дръжте документите на едно място.","Your money comes from other people's money — loans, inheritance, a share. You work with what is not yours and you guard it precisely. Keep the papers in one place."
"pluto","2","sun","9","Изкарвате от далече или от нещо научено извън дома. Тесният кръг не ви храни. Гледайте по-надалеч, отколкото ви е удобно.","You earn from far away or from something learned outside your own patch. The narrow circle does not feed you. Look further than is comfortable."
"pluto","2","sun","10","Плащат ви за името и за отговорността, която носите. Мълчаливо ви товарят. Искайте да ви платят за товара.","You are paid for your name and for the responsibility you carry. They load you up quietly. Ask to be paid for the load."
