"planet","house","ruler","ruler_house","bg","en"
"saturn","2","saturn","2","Парите ви идват бавно и стоят дълго. Знаете цената на всяко нещо, защото сте я плащали сами. Тук никой не ви пази гърба и точно затова не изхарчвате последното.","Money comes to you slowly and stays a long time. You know the price of everything because you paid it yourself. Nobody covers your back here, which is exactly why you never spend the last of it."
"saturn","2","sun","1","Сам сте си изкарали всичко и това е гордостта ви. Не молите и не обичате да ви дават. Само не отказвайте, когато ви предлагат честно.","You earned all of it yourself and that is your pride. You do not ask and you do not like being given things. Just do not refuse when the offer is honest."
"saturn","2","sun","2","Тук всичко е на място: стойността ви е в това, което сте събрали. Броите точно и не се хвалите. Само не мерете себе си единствено с числа.","Here everything sits in place: your worth is in what you put together. You count exactly and do not boast. Just do not measure yourself by numbers alone."
"saturn","2","sun","3","Изкарвате с умение и с думи, но без размах. Роднините ви смятат за предпазливи. Тук едно поискано увеличение върши повече от година търпение.","You earn by skill and by words, without any flourish. Relatives take you for cautious. One raise asked for here does more than a year of patience."
"saturn","2","sun","4","Работите за дома и за това, което ще остане. Имотът ви е бавен и сигурен. Само не плащайте за всички вечно.","You work for the home and for what will be left. Your property is slow and safe. Just do not pay for everybody forever."
"saturn","2","sun","5","Позволявате си рядко и след сметка. Талантът ви носи, но не бързо. Купете си едно нещо просто защото ви радва.","You allow yourself things rarely and after counting. Your talent pays, but not fast. Buy yourself one thing simply because it pleases you."
"saturn","2","sun","6","Парите ви идват от работа, ден по ден, без изненади. Държите на редовното пред голямото. Само поискайте цената си на глас.","Your money comes from work, day by day, with no surprises. You prefer the regular to the large. Just say your price out loud."
"saturn","2","sun","7","Доходът ви минава през уговорка и през друг човек. Партньорът е по-предпазлив или по-строг от вас. Каквото не е записано, ще ви струва.","Your income goes through an agreement and through another person. The partner is more cautious or stricter than you. Whatever is not written down will cost you."
"saturn","2","sun","8","Пари от други минават през вас и вие ги пазите точно. Дългът се изплаща бавно и докрай. Тук чуждото доверие ви е капиталът.","Other people's money passes through you and you keep it exactly. A debt gets paid off slowly and completely. Other people's trust is your capital here."
"saturn","2","sun","9","Изкарвате с квалификация, която е вземана дълго. Далечното ви носи, но след време. Тук хартията струва повече от обещанието.","You earn with a qualification that took a long time to get. The far-away pays you, but later. A certificate here is worth more than a promise."
