"point","colour","outcome","title_bg","title_en","bg","en"
"sun","moon","met","Признание, поднесено меко","Recognition, offered gently","Този човек те приема по начин, който не те кара да доказваш стойността си. Топлината и емоционалният му отговор ти дават усещане, че можеш да бъдеш видян без да се защитаваш. Самото му отношение подсилва увереността ти.","Something in you wants to be noticed, and it cannot bear being weighed up coldly. With this person approval arrives warm and on time, less like a verdict and more like care. That is why you let your guard down here when elsewhere you would keep it up."
"sun","mercury","met","Да бъдеш изявен чрез думи","Being said out loud","Този човек не оставя присъствието ти без отговор — забелязва те, пита, назовава и разговаря с теб. Когато можеш да се изразиш и някой действително да те чуе, усещането ти за собствена стойност става по-ясно. При вас признанието минава и през думите.","You believe in yourself once someone puts it into words. This person finds them, asks, reflects your thought back, names the thing you had not managed to phrase. Your confidence grows out of conversation rather than out of silent approval."
"sun","venus","met","Да бъдеш харесван, не само уважаван","Liked, not only respected","Този човек не просто уважава това, което си, а му се радва. Харесването, нежността и удоволствието от самото ти присъствие ти позволяват да свалиш нуждата постоянно да се доказваш. До него можеш да бъдеш значим, без всичко да се превръща в постижение.","Respect on its own is not enough for you; you want to be enjoyed. This person manages it easily, notices what suits you, stays gentle and never turns closeness into a chore. Your pride softens here instead of having to assert itself."
"sun","mars","met","Някой, който ти отвръща","Someone who pushes back","Този човек реагира на теб, вместо да остава пасивен. Той има собствена воля, може да ти възрази и същевременно да застане зад теб, когато е нужно. Точно тази жива реакция те кара да усещаш, че имаш място и сила във връзката.","You come alive against resistance, not in quiet. This person does not give way just to keep the peace; they argue, they want things, they push you on. A row between you brings out strength instead of draining it."
"sun","jupiter","met","Вяра, дадена предварително","Belief given in advance","Този човек гледа на теб през възможностите ти, а не само през това, което вече си доказал. Доверието му ти дава простор да растеш и да опитваш повече, без всяка стъпка да минава през съмнение. До него увереността ти има на какво да се опре.","You unfold when someone believes in you before you have proved anything. This person extends exactly that credit, takes the large view, never nitpicks and nudges you towards the bigger thing. Your nerve comes from somebody else's trust."
"sun","saturn","met","Да те приемат насериозно","Taken seriously","Този човек показва уважението си чрез последователност и отговорност. Не се налага непрекъснато да доказваш, че заслужаваш мястото си — отношението му е ясно и устойчиво. Това дава на идентичността ти сериозността и опората, които търси.","You need to be taken seriously and shown it in deeds rather than words. This person keeps what they promised and does not waver when it becomes inconvenient. Their steadiness is the ground you stand on to be yourself."
"sun","uranus","met","Да не те опитомяват","Not being tamed","Този човек не се опитва да те направи по-удобен или предвидим. Оставя ти пространство да имаш собствен стил, идеи и странности, дори когато са различни от неговите. Така можеш да бъдеш себе си, без свободата ти да се превръща в проблем.","You shrink the moment somebody starts fitting you into a frame. This person never does, leaves you odd, changes the rules first, and enjoys the part of you that others call too much. Here you stay yourself without apologising for it."
"sun","neptune","met","Да те виждат в по съвършена форма","Seen as more than you are","Този човек вижда в теб качества, които може би сам още не можеш да покажеш напълно. Погледът му добавя смисъл, вдъхновение и по-голяма картина към начина, по който се възприемаш. Той не те свежда само до фактите за теб, а оставя място и за идеала.","You need someone who sees more in you than you can prove. This person does it effortlessly, looking at you through softness and asking for no evidence. It is not always accurate, and it is exactly what lifts you."
"sun","pluto","met","Без половинчати неща","No half measures","Този човек не се задоволява с повърхностно отношение към теб. Присъствието му те кара да усещаш, че си видян в дълбочина — включително там, където не всичко е красиво или удобно. Това е силно признание, защото не изисква да се преструваш.","Shallow attachment offends you more than refusal does. This person cannot be slightly involved; they go all the way in and never pretend it is light. The weight they bring lands on you as recognition."
"moon","sun","met","Спокойствие идва от присъствие","Calm from someone being present","Този човек присъства ясно и открито и това успокоява емоционалната ти система. Не се чудиш къде стоиш с него и не трябва постоянно да разчиташ намеци. Неговата видимост и топлина ти дават усещане, че има на кого да се облегнеш.","You settle when somebody is plainly here rather than half here. This person does not hide and does not ration warmth; you can see what they are from the doorway. That clarity is what takes the worry off you."
