"planet","house","sign","bg","en"
"sun","1","aries","Влизате в стая, преди да сте решил как. Първата ви дума е по-бърза от преценката и обикновено сте прав, но не винаги. Дайте си два удара пауза.","You enter a room before you have decided how. Your first word is faster than your judgement and usually right, though not always. Give yourself two beats of pause."
"sun","1","taurus","Присъствието ви е плътно и спокойно, и хората се отпускат до вас. Не се движите, докато не сте решил. Само не чакайте прекалено дълго.","Your presence is solid and calm, and people relax beside you. You do not move until you have decided. Just do not wait too long."
"sun","1","gemini","Показвате различно лице на различни хора и всичките са истински. Отвън изглежда като непостоянство. Кажете това веднъж и се разбира.","You show a different face to different people and all of them are real. From outside it looks like inconsistency. Say that once and it makes sense."
"sun","1","cancer","Хората усещат по вас как сте, преди да сте казал. Носите настроението си на лицето. Не се извинявайте за това.","People read how you are before you speak. You carry your mood on your face. Do not apologise for it."
"sun","1","leo","Забелязват ви и когато не искате да ви забележат. Заемате повече място, отколкото смятате. Използвайте го, вместо да го криете.","You are noticed even when you would rather not be. You take up more room than you reckon. Use that rather than hiding it."
"sun","1","virgo","Оглеждате се, преди да влезете, и забелязвате какво не е наред. Изглеждате по-критичен, отколкото сте. Кажете и едно добро нещо на глас.","You look things over before you go in, and you notice what is off. You seem more critical than you are. Say one good thing out loud as well."
"sun","1","libra","Съобразявате се с човека срещу вас още от първата секунда. Затова ви е трудно да кажете какво искате вие. Кажете го първо.","You adjust to the person in front of you from the first second. That is why saying what you want is hard. Say yours first."
"sun","1","scorpio","Никой не разбира какво мислите от лицето ви и това ви пази. Отваряте се на малко хора и докрай. Само не проверявайте всеки по три пъти.","Nobody reads your thinking off your face, and that protects you. You open to few people and completely. Just do not test everybody three times over."
"sun","1","sagittarius","Влизате с широк жест и обещавате повече, отколкото ще стигне денят. Хората ви обичат точно за това. Мерете обещанията, не размаха.","You come in with a wide gesture and promise more than the day will hold. People love you for exactly that. Measure the promises, not the sweep."
"sun","1","capricorn","Държите се по-сериозно от възрастта си и винаги е било така. Хората ви дават отговорност веднага. Кажете, когато не я искате.","You carry yourself older than your age and always have. People hand you responsibility at once. Say when you do not want it."
"sun","1","aquarius","Правите нещата по свой начин и обяснението идва после, ако идва. Не се вписвате и не искате. Само не се отделяйте от всички.","You do things your own way and the explanation comes later, if at all. You do not fit in and you do not want to. Just do not stand apart from everybody."
"sun","1","pisces","Настройвате се по стаята и после не знаете кое е било ваше. Границата ви е мека. Казвайте по едно свое нещо на всяка среща.","You tune to the room and afterwards do not know which part was yours. Your edge is soft. Say one thing of your own at every meeting."
"sun","2","aries","Изкарвате бързо и харчите също толкова бързо. Първата сума идва от действие, не от план. Оставяйте по малко, преди да е тръгнало.","You earn fast and spend just as fast. The first money comes from acting rather than planning. Put a little aside before it leaves."
"sun","2","taurus","Държите на своето и не го пускате. Сигурността ви е нещо, което може да се пипне. Само проверявайте дали още го ползвате.","You hold on to what is yours and do not let go. Your security is something you can touch. Just check whether you still use it."
"sun","2","gemini","Имате два прихода и никога само един. Умеете да намерите откъде. Записвайте ги, за да не се губят.","You have two incomes and never only one. You know how to find where from. Write them down, so they do not get lost."
"sun","2","cancer","Спокойни сте, когато има запас в къщата. Празният шкаф ви тревожи повече от празната сметка. Пълнете и двете.","You are calm when the house has a reserve. An empty cupboard worries you more than an empty account. Fill both."
"sun","2","leo","Купувате хубавото, а не изгодното, и не съжалявате. Парите ви са за живот, не за трупане. Дръжте един лимит.","You buy the good thing rather than the cheap one, and you do not regret it. Your money is for living rather than piling up. Keep one limit."
"sun","2","virgo","Знаете точно колко имате и къде е всяка стотинка. Дребният разход ви дразни повече от голямата грешка. Оставете едно нещо непроверено.","You know exactly how much you have and where every coin is. A small expense annoys you more than a big mistake. Leave one thing unchecked."
"sun","2","libra","Парите ви идват през хора и през договор. Сам ви е по-трудно. Пишете условията, докато е приятно.","Your money comes through people and through terms. Alone it is harder. Put the terms in writing while things are pleasant."
"sun","2","scorpio","Не казвате колко имате и това е обмислено. Работите добре с чужди пари. Дръжте документите наред.","You do not say how much you have, and that is deliberate. You work well with other people's money. Keep the papers in order."
"sun","2","sagittarius","Мислите на едро и дребните суми ви убягват. Печелите, когато рискувате. Оставяйте резерв за слабия месец.","You think big and small sums slip past you. You earn when you take a risk. Leave a reserve for the flat month."
"sun","2","capricorn","Строите бавно и всяка година има повече. Не вярвате на бърза печалба. Правилно е — само не си отказвайте всичко.","You build slowly and every year holds more. You do not believe in fast gains. That is right — just do not refuse yourself everything."
"sun","2","aquarius","Изкарвате от нещо, което другите още не правят. Обичайният път ви е тесен. Само дръжте един сигурен приход.","You earn from something others are not doing yet. The usual road is narrow for you. Just keep one steady income."
"sun","2","pisces","Парите ви влизат и излизат, без да ги проследите. Числата ви се размиват. Гледайте сметката на един и същи ден всяка седмица.","Money comes in and goes out without your tracking it. Numbers blur for you. Look at the account on the same day each week."
"sun","3","aries","Казвате го, докато другите се готвят. Отговорът ви е бърз и понякога остър. Изчакайте едно дишане.","You say it while the others are still preparing. Your answer is fast and sometimes sharp. Wait one breath."
"sun","3","taurus","Говорите малко и хората ви вярват точно затова. Не сменяте мнение под натиск. Само кажете нещо и без да ви питат.","You speak little and people believe you exactly because of that. You do not change your mind under pressure. Just say something without being asked."
"sun","3","gemini","Умът ви върви на скокове и стигате до края по три пътя. Хората изостават. Довършете едната мисъл.","Your mind moves in jumps and you reach the end by three roads. People fall behind. Finish the one thought."
