"planet","house","ruler","ruler_house","bg","en"
"moon","8","moon","8","Тук нищо не минава леко покрай вас — усещате кога някой крие нещо и рядко се лъжете. Държите се силно за хората и за парите, които не са само ваши, и точно затова ви е страшно да губите. Всяка голяма промяна ви прекроява, но не ви чупи.","Nothing passes lightly by you here — you sense when someone is holding something back, and you are rarely wrong. You hold on hard to people and to money that is not only yours, which is exactly why losing frightens you. Every big change recuts you, but it does not break you."
"moon","8","sun","1","Всичко тежко минава лично през вас — вие решавате, вие и понасяте. Не чакате разрешение, за да влезете в чужди пари или в неудобен разговор. Хората ви виждат като човек, който не се плаши, макар вътре да ви люлее.","Everything heavy goes through you personally — you decide and you carry it. You ask nobody's permission before stepping into shared money or an awkward conversation. People read you as someone who does not scare easily, even while it rocks you inside."
"moon","8","sun","2","Спокойни сте, докато собствените ви пари стоят на място. Чуждите суми, дълговете и наследствата се оправят с това, което сами сте изкарали, а не с обещания. Гордостта ви не позволява да просите — по-скоро ще стегнете колана.","You are calm as long as your own money sits still. Shared sums, debts and inheritances get settled with what you earned yourself, not with promises. Your pride will not let you beg — you would rather tighten the belt."
"moon","8","sun","3","Тежкото у вас се решава на глас — в един разговор, в едно писмо, в един ясен отказ. Брат, сестра или съсед държат нишката, а вие сте човекът, който казва как ще бъде. Каквото премълчите, се връща двойно.","The heavy things get settled out loud here — one conversation, one letter, one clear refusal. A sibling or a neighbour holds the thread and you are the one who says how it will be. Whatever you swallow comes back twice as big."
"moon","8","sun","4","Всичко се решава в къщата — кой седи начело, кой какво оставя, кой на кого дължи. Свързвате се със своите толкова силно, че чуждата болка ви идва като собствена. Мирът с рода ви струва повече от парите му.","It all gets settled at home — who heads the table, who leaves what, who owes whom. You bind yourself to your own people so tightly that their pain arrives as yours. Peace with the family costs you more than its money is worth."
"moon","8","sun","5","Пускате се в дълбокото заради дете или заради любов — там ви е сърцето и там ревнувате най-силно. Рискувате открито, залагате и не се криете. Спечелите ли, носите го с гордост; загубите ли, пак не се отказвате.","You go into deep water for a child or for love — that is where your heart is and where the jealousy bites hardest. You take risks in the open, you stake things, you do not hide. Win and you wear it proudly; lose and you still do not quit."
"moon","8","sun","6","Оправяте се с тежкото чрез работа — сметки, документи, ред, свършено днес. Тялото ви носи напрежението вместо езика: стомах, сън, умора. Дайте си правото да не сте полезни през цялото време.","You handle the heavy stuff by working — bills, papers, order, something finished today. Your body carries the strain instead of your tongue: stomach, sleep, tiredness. Give yourself permission to stop being useful for a while."
"moon","8","sun","7","Кой ще държи парите и докъде стига близостта се решава с другия човек. Партньорът внася повече, отколкото си признавате, и точно това ви прави внимателни. Ясната уговорка тук пази повече чувства, отколкото разваля.","Who holds the money and how deep the closeness goes is decided with the other person. A partner brings in more than you admit, and that is exactly what makes you careful. A clear agreement here saves more feelings than it spoils."
"moon","8","sun","8","Тук няма кой да ви подаде ръка и вие отдавна сте го приели. Каквото ви е разклатило, го затваряте в себе си и излизате по-твърди, отколкото сте влезли. Гордостта ви е точно в това — сами си носите тежкото.","There is no hand reaching out here and you made peace with that long ago. Whatever shook you gets closed away inside and you come out harder than you went in. Your pride sits exactly there: you carry the weight yourself."
"moon","8","sun","9","Големите въпроси ви държат буден — какво остава след човека, какво е право, в какво вярвате. Отговорите идват отдалеч: от чужда държава, от учител, от съд или от книга. Веднъж разбрали, вече не се връщате назад.","The big questions keep you awake — what remains of a person, what is fair, what you actually believe. The answers come from far off: another country, a teacher, a court, a book. Once you understand, you do not go back."
"moon","8","sun","10","Тежкото се решава там, където ви виждат — в работата, пред началник, пред име. Пазите лицето си дори когато вътре е буря, и малцина знаят колко ви струва. Тук доброто име тежи повече от парите.","The heavy business gets settled where people can see you — at work, in front of a boss, in front of a name. You keep your face straight while it storms inside, and few know the cost. A good name weighs more than money here."
"moon","8","sun","11","Приятели и хора от кръга ви вадят от дълбокото — заем, връзка, дума на място. Привързвате се силно към малцина и после ви е трудно да ги пуснете. Дайте им да помогнат, вместо да чакате да се досетят.","Friends and the people around you are what pull you out of deep water — a loan, a contact, a word at the right moment. You attach hard to a few of them and then struggle to let go. Let them help instead of waiting for them to guess."
"moon","8","sun","12","Най-важното при вас се случва, без да го вижда никой. Носите тайни — свои и чужди — и понякога ви е по-леко сам, отколкото в компания. Тишината ви е нужна, но не я превръщайте в скришно място.","The most important part of this happens where nobody sees it. You carry secrets, yours and other people's, and sometimes alone is lighter than in company. You need the quiet, just do not turn it into a hiding place."
"moon","8","mercury","1","Мислите ви въртят все едно и също — кой какво дължи, кой какво крие, какво следва. Питате, четете, проверявате и рядко ви убягва подробност. Спрете ли да броите наум, ще спите по-добре.","Your mind turns the same things over — who owes what, who is hiding what, what comes next. You ask, you read, you check, and a detail rarely slips past you. Stop counting in your head and you will sleep better."
"moon","8","mercury","2","Всичко се изяснява, като седнете и напишете числата. Знаете точно колко влиза и колко от него не е ваше, и това ви успокоява повече от думи. Държите на своя джоб, защото веднъж сте се уплашили.","It all clears up the moment you sit down and write the numbers out. You know exactly what comes in and how much of it is not yours, and that steadies you more than any reassurance. You guard your own pocket because you were frightened once."
"moon","8","mercury","3","Дълбокото при вас излиза през говорене — разказвате, питате, повтаряте, докато ви олекне. Брат, сестра или най-близкият съсед знае повече от всеки друг. Внимавайте на кого поверявате чуждото.","The deep things come out of you in talk — you tell it, ask about it, repeat it until it lightens. A sibling or the nearest neighbour knows more than anyone else. Be careful whose secrets you pass along."
"moon","8","mercury","4","Уговорките в семейството решават всичко — какво е обещано, какво е написано, какво е само казано на масата. Помните разговори от години и точните думи в тях. Едно ясно написано нещо тук спира десет разправии.","Family arrangements decide it all — what was promised, what was written down, what was merely said at the table. You remember conversations from years back, word for word. One thing put in writing here stops ten quarrels."
"moon","8","mercury","5","Мислите ви отиват към дете, към любов, към нещо, което искате да спечелите. Играете умно — сметка, план, малко хазарт. Ревността тук се превръща в питане, а е по-добре да питате направо.","Your thoughts go to a child, to a love, to something you want to win. You play it cleverly — a calculation, a plan, a little gambling. Jealousy turns into questioning here, so better ask straight out."
"moon","8","mercury","6","Тежкото се разплита с ред — папка, списък, малко свършено всеки ден. Тревогата ви влиза в тялото, преди да е стигнала до думи. Един лекар и един счетоводител ви вършат повече работа от десет съвета.","The tangle comes undone through order — a folder, a list, a little done each day. Worry gets into your body before it reaches words. One doctor and one accountant do more for you than ten pieces of advice."
"moon","8","mercury","7","Всичко се решава в разговор с другия — не в мълчание и не с намеци. Партньорът мисли на глас за пари, за близост, за граници, а вие слушате внимателно. Написаното черно на бяло пази и двама ви.","It gets settled in conversation with the other person — not in silence, not in hints. A partner thinks aloud about money, closeness and limits, and you listen closely. Black and white on paper protects you both here."
"moon","8","mercury","8","Умът ви работи най-добре точно там, където другите се стягат — в чуждите сметки, в тежката тема, в неудобния въпрос. Разбирате как стоят нещата, преди да са ви казали. Само не разследвайте вечно, а решавайте.","Your mind works best exactly where others tense up — other people's accounts, the heavy subject, the awkward question. You see how things stand before anyone tells you. Just stop investigating at some point and decide."
"moon","8","mercury","9","Учите се на тежкото отдалеч — чужд език, чужд закон, книга, която не ви пуска. Отговорът рядко е у дома; идва от път или от човек, който вече е минал оттам. Каквото разберете, накрая го обяснявате на другите.","You learn the hard subjects from a distance — a foreign language, a foreign law, a book you cannot put down. The answer is rarely at home; it comes from travelling or from someone who has already been through it. What you work out, you end up explaining to others."
"moon","8","mercury","10","Решава се с документ и с подпис пред хора, които имат тежест. Умеете да говорите за пари и за загуба, без да ви трепери гласът, и това ви носи име. Пазете какво казвате — тук всяка дума се помни.","It gets settled with a document and a signature in front of people who carry weight. You can talk about money and loss without your voice shaking, and that earns you a name. Watch what you say — every word is remembered here."
"moon","8","mercury","11","Оправяте се чрез хора — обаждате се, питате, свързвате един с друг. Кръгът ви носи и сведения, и заеми, и понякога самия проблем. Изберете на кого да вярвате, вместо да вярвате на всички.","You get through it via people — a call, a question, connecting one person to another. The circle brings you information, loans, and occasionally the problem itself. Choose who to trust rather than trusting everyone."
"moon","8","mercury","12","Знаете неща, които не изричате, и това ви тежи повече от самите тайни. Мислите ви работят нощем, когато никой не гледа. Напишете си го някъде — на хартия олеква, наум само се върти.","You know things you do not say, and that weighs more than the secrets themselves. Your mind works at night, when nobody is watching. Write it down somewhere — on paper it eases; in your head it only circles."
"moon","8","venus","1","Привличате хора, които идват със своите тежести, и вие ги приемате. Обичате силно и точно затова се страхувате да губите. Красивото и приятното ви държат на повърхността, когато вътре е дълбоко.","You draw people who arrive with their own weight, and you take them in. You love hard and that is exactly why loss frightens you. Beauty and small pleasures keep you afloat when it gets deep inside."
