"planet","house","ruler","ruler_house","bg","en"
"sun","11","sun","11","Сред своите сте фигурата, около която се събират, и това ви върши работа. Дайте им посока и ще ви последват; дръпнете ли се, кръгът се разпада. Само не бъркайте приятели с публика.","Among your own you are the figure people gather around, and it serves you well. Give them a direction and they follow; step back and the circle falls apart. Just do not mistake friends for an audience."
"sun","11","mercury","10","Приятелите ви се въртят около работата ви: колеги, шефове, хора от занаята. Едно правилно писмо или един разговор нагоре ви отваря целия кръг. Дръжте името си чисто, защото се говори за вас.","Your circle grows out of your work: colleagues, bosses, people in the same trade. One well-placed message or a word upward opens the whole room. Keep your name clean, because people talk about you."
"sun","11","mercury","11","Вие сте човекът, който пише, звъни и събира останалите. Хората идват при вас, за да разберат какво става, и точно заради това ви търсят. Само не носете чужди новини по-далеч, отколкото трябва.","You are the one who writes, calls and gets everyone together. People come to you to find out what is going on, and that is exactly why they keep you close. Just do not carry other people's news further than you should."
"sun","11","mercury","12","Най-верните ви хора стоят настрана от шума и малцина знаят за тях. Много се урежда с тих разговор, който никой друг не чува. Пазете се от обещания, дадени полугласно, те се забравят.","Your truest people stay out of the noise and few know they exist. A lot gets settled in a quiet conversation nobody else hears. Beware of promises made half aloud; those get forgotten."
"sun","11","venus","8","През хората около вас идват пари, но не техните: чужд бюджет, заем, нечие наследство. Дават ви лесно и това е дарба, докато не се смеси с близост. Питайте за условията, преди да кажете да.","Money reaches you through the people around you, though not their own: someone's budget, a loan, an inheritance. People give to you easily, which is a gift until it mixes with closeness. Ask the terms before you say yes."
"sun","11","venus","9","Хубавите ви хора идват отдалеч: от друг град, друга вяра, друг език. Ученето и пътят ви събират с тях по-лесно от съседството. Дръжте вратата отворена, там ви обичат повече, отколкото у дома.","The people who suit you come from far off: another city, another faith, another language. Study and travel bring them to you more easily than your own street ever will. Keep that door open; you are liked more there than at home."
"sun","11","venus","10","Обичат ви заради това, което правите, и заради името, което си носите. Кръгът ви се пълни с хора, дошли през работата, и повечето са полезни. Внимавайте да не купувате приятелство с положение.","People like you for what you do and for the name you carry. Your circle fills with people met through work, and most of them are useful. Just be careful not to buy friendship with your position."
"sun","11","venus","11","Лесно ви е сред хора и хората ви се радват, това ви е късметът. Един приятел с широко сърце ще ви подаде точно каквото ви трябва. Внимавайте само да не се разпилеете в приятни компании.","You are easy among people and people are glad of you; that is your luck. One warm-hearted friend will hand you exactly what you need. Only take care not to spend yourself on pleasant company."
"sun","11","venus","12","Има кой да ви помага тихо, без да се обади и без да иска благодарност. Такива приятелства не се показват, но държат. Не издавайте кой стои зад вас, така се губи.","Someone helps you quietly, without announcing it and without asking for thanks. Friendships like that are never on display, but they hold. Do not name who stands behind you; that is how it gets lost."
"sun","11","venus","1","Хората ви търсят заради вас самите: заради вида, тона и лекотата, с която влизате. Не се налага да се борите за място в компанията, дават ви го. Гледайте да не свикнете само да се харесвате.","People come to you for you: your look, your tone, the ease with which you walk in. You never have to fight for a place in the room, it is offered. Just do not settle for only being liked."
"sun","11","venus","2","Приятелствата ви минават през даване: черпите, помагате, купувате. Има и възврат, защото през тези хора влизат пари при вас. Само пресмятайте, щедростта тук лесно става разход.","Your friendships run through giving: you treat people, you help, you pay. It does come back, and money reaches you through those same people. Keep count, though, because generosity here turns into expense fast."
"sun","11","moon","1","Настроението ви решава кой ви е близък този месец: сближавате се бързо и също така бързо изстивате. Хората ви усещат отдалеч и идват, когато сте отворени. Дръжте няколко връзки живи и когато не ви се говори.","Your mood decides who is close to you this month; you warm to people fast and cool just as fast. People sense you from a distance and come when you are open. Keep a few ties alive even on the days you do not feel like talking."
"sun","11","moon","2","Кръгът ви се мени според това как стоите с парите: има ли, събират се, няма ли, оредява. Не е злоба, просто така се движи при вас. Дръжте един-двама, които остават и в слабия месец.","Your circle shifts with your money: when there is some, people gather; when there is not, it thins out. That is not spite, it is simply how it moves for you. Keep one or two who stay through the lean month."
"sun","11","moon","3","Своите ви хора са наблизо: брат, сестра, съседи, някой от квартала. Приятелството ви живее от честите обаждания и дребните новини. Спрете ли да пишете, връзката заспива.","Your people are close at hand: a brother, a sister, neighbours, someone from the same street. The friendship lives on frequent calls and small news. Stop writing and the tie goes to sleep."
"sun","11","moon","4","Приятелите ви стават семейство: влизат в къщата, сядат на масата, знаят всичко. Оттам ви идва и подкрепата, когато навън е тежко. Само гледайте да не задържате всички у дома.","Your friends turn into family: they come into the house, sit at the table, know everything. That is where the support comes from when things go hard outside. Only take care not to keep everyone indoors."
"sun","11","moon","5","Събирате се с хора през забавата: деца, игра, влюбване, нещо, което правите за удоволствие. Такива дружби пламват силно и понякога прегарят. Ако искате да останат, дайте им и по-спокойни дни.","You meet people through pleasure: children, games, falling in love, something done for the fun of it. Friendships like this flare up bright and sometimes burn out. If you want them to last, give them quieter days too."
"sun","11","moon","6","Хората влизат в живота ви през работата от всеки ден: един и същ график, една и съща грижа. Свързвате се, докато вършите нещо заедно, не докато седите на приказка. Смените ли работата, кръгът се сменя с нея.","People come into your life through the daily job: the same shift, the same worry. You bond while doing something together, not while sitting and chatting. Change the job and the circle changes with it."
"sun","11","moon","7","Кой ви е приятел, зависи от човека до вас: партньорът ви въвежда в едни компании и ви извежда от други. През него идват и най-полезните познанства. Оставете си обаче поне един кръг, който е само ваш.","Who your friends are depends on the person beside you: a partner brings you into some company and takes you out of the rest. Your most useful acquaintances arrive through them as well. Still, keep at least one circle that is only yours."
"sun","11","moon","8","Близостта ви идва след тежко: болест, загуба, дълг, нещо преживяно заедно. Тези хора знаят за вас каквото никой не знае и това ви свързва здраво. Внимавайте само с общите пари, там се къса.","Closeness comes to you after something hard: an illness, a loss, a debt, something lived through together. Those people know what nobody else knows about you, and that binds tight. Just be careful with shared money; that is where it tears."
"sun","11","moon","9","Хората ви са пръснати: един в друг град, друг в чужбина, трети някъде на път. Виждате се рядко, а връзката не изстива. Тръгвате ли, все има при кого да спрете.","Your people are scattered: one in another city, one abroad, another somewhere on the road. You meet rarely and the tie does not cool. Whenever you travel, there is always someone to stop with."
"sun","11","moon","10","Кръгът ви расте и се сменя според това какво работите и как ви познават. Хората идват заради мястото ви и си отиват, когато то се промени. Затова цените малцината, които остават и без него.","Your circle grows and turns over with what you do and how people know you. They come because of your position and drift off when it changes. That is why you value the few who stay without it."
"sun","11","moon","11","Сред хората ви е добре и оттам ви идват и силата, и надеждите. Само че кръгът тече: идват нови, отиват стари, и всеки път ви се струва, че губите. Не губите, така се пълни.","You are well among people, and both your strength and your hopes come from there. The circle flows, though: new ones arrive, old ones leave, and each time it feels like a loss. It is not; that is how it refills."
"sun","11","moon","12","Има хора, за които не разказвате, и точно те ви крепят. Понякога ви се иска да се скриете от всички и си позволявате, после се връщате. Гледайте да не изчезвате толкова дълго, че да ви забравят.","There are people you never talk about, and they are exactly the ones holding you up. Sometimes you want to vanish from everyone and you let yourself; then you come back. Just do not disappear so long that you are forgotten."
"sun","11","mars","1","Влизате в компанията с юмруци напред, дори когато не искате: вие давате темпото и вие се сблъсквате първи. Хората ви следват, ако сте прави, и ви отрязват, ако прекалите. Печелите повече, като поканите, отколкото като натиснете.","You come into the room pushing, even when you do not mean to: you set the pace and you take the first collision. People follow if you are right and cut you off if you overdo it. You gain more by inviting than by pressing."
"sun","11","mars","2","За приятелите се борите с пари в ръка: плащате, влагате, покривате. Затова и споровете при вас винаги стигат до кой колко е дал. Кажете сумата на глас още отначало и си спестявате половината скандали.","You fight for your friends with money in hand: you pay, you put in, you cover. Which is why your arguments always end up at who gave how much. Name the sum out loud at the start and you save half the rows."
"sun","11","mars","3","Спорът ви е начин да се сближите: караницата с брат, съсед или колега бързо минава и после се смеете. Каквото трябва да се уреди, се урежда с директен разговор, не с чакане. Само внимавайте какво пишете на горещо.","An argument is how you get close: a row with a brother, a neighbour or a colleague passes fast and then you laugh about it. Whatever needs settling gets settled in a direct conversation, not by waiting. Just watch what you put in writing while you are hot."
"sun","11","mars","4","У дома се решава кой ви е приятел: там се приемат хората и там стават кавгите. Своите защитавате остро, дори когато не са прави. Внимавайте да не превърнете къщата в бойно поле заради външни.","Home is where it is decided who your friends are: people are taken in there and the quarrels happen there too. You defend your own sharply, even when they are wrong. Take care not to turn the house into a battlefield over outsiders."
"sun","11","mars","5","Сближавате се в игра, в надпревара, в нещо, за което трябва смелост. Приятелствата ви обичат риск и точно затова горят силно. Заложите ли, за да впечатлите, обикновено плащате сами.","You get close through a game, a race, something that takes nerve. Your friendships enjoy risk, which is exactly why they burn bright. Bet to impress, though, and you usually pay alone."
"sun","11","mars","6","Хората около вас се доказват с работа: кой е свършил, кой е издържал, кой е дошъл навреме. Приятел ви е онзи, който е бил до вас на смяна, не онзи, който говори. Не се съсипвайте обаче, за да им докажете нещо.","The people around you prove themselves by work: who finished, who held out, who turned up on time. Your friend is the one who stood beside you on the shift, not the one who talks. Do not wreck yourself proving something to them, though."
