"planet","house","ruler","ruler_house","bg","en"
"sun","1","mars","1","Влизате направо и хората ви усещат от вратата. Тук никой не ви държи каиша — сами решавате как ще се покажете и сами си плащате грешките. Затова и нямате външен коректив: няма кой да ви каже „стоп“, преди да сте се ударили.","You arrive head-on and people register you at the door. Nothing outside governs how you present yourself here, so the freedom is total and so is the bill when you get it wrong — there is nobody to say stop before you hit the wall."
"sun","1","mars","2","Излизате пред хората уверено, но горивото са парите и това, което сте събрали. Докато сметките са наред, вървите смело; станат ли тънки, увереността се стопява първа. Затова тук се строи от джоба навън, не обратното.","You come across sure of yourself, but the fuel is money and what you have put aside. While the accounts hold you move boldly; when they thin out, the confidence goes first. This is built from the wallet outward, not the other way round."
"sun","1","mars","3","Как ви виждат зависи от това как говорите. Спор, обаждане, дума на брат или съсед — оттам тръгва или спира всичко. Внимавайте с езика: тук той ви е и оръжието, и разноските.","How you are seen rests on how you talk. An argument, a phone call, a word from a sibling or a neighbour — that is where it starts and where it stalls. Your tongue is both the weapon and the cost here."
"sun","1","mars","4","Отвън изглеждате готови за бой, а коренът е у дома. Каквото е положението в семейството, това излиза и на лицето ви пред другите. Оправи ли се вкъщи, се изправяте и навън.","Outside you look ready for a fight; the root is at home. Whatever the state of the family shows up on your face in front of everybody else. Settle things indoors and you straighten up outside."
"sun","1","mars","5","Показвате се смело и то ви отива. Всичко обаче зависи от това дали има радост в живота ви — дете, любов, нещо направено за удоволствие. Няма ли риск и няма ли игра, лицето ви угасва.","You show up boldly and it suits you. Everything depends, though, on whether there is any joy in your life — a child, a love, something made for the pleasure of it. With no risk and no play, the face goes flat."
"sun","1","mars","6","Излизате енергично, но всичко се решава в ежедневието и в тялото. Спите ли зле и няма ли режим, външният вид отива първи. Тук се печели от досадните неща, правени всеки ден.","You come out with energy, but everything is decided in the daily grind and in the body. Sleep badly with no routine and your appearance is the first thing to go. This one is won by dull things done every day."
"sun","1","mars","7","Изглеждате самостоятелни, а всъщност минава през друг човек. Партньорът ви дава тласъка и същият партньор е триенето. Сами тук не се стига далеч, колкото и да ви се иска.","You look self-sufficient, and it actually goes through another person. A partner gives the push and the same partner is the friction. Alone you do not get far here, however much you would prefer to."
"sun","1","mars","8","Носите се уверено, но сметката е обща. Чужди пари, дългове, неща, които никой не изрича на глас — оттам идват и силата, и спънките. Изчисти ли се това, се изчиства и излизането ви пред хората.","You carry yourself with confidence, but the account is shared. Other people's money, debts, things nobody says out loud — the strength and the obstacles both come from there. Clear that and how you appear clears with it."
"sun","1","mars","9","Показвате се направо и без страх от чуждото мнение. За да ви върви, обаче, ви трябва простор: път, учене, кауза, нещо по-голямо от квартала. Затворите ли се в тесен кръг, ставате рязки без причина.","You present yourself directly and without much fear of what people think. To thrive, though, you need room: travel, study, a cause, something bigger than the neighbourhood. Shut into a small circle you turn sharp for no reason."
"sun","1","mars","10","Държите се така, че да ви забележат, и обикновено успявате. Всичко тук се решава през работата и името ви — постигнете ли нещо навън, и лицето ви се променя. Провали ли се работата, се свивате пред всички.","You carry yourself to be noticed and it usually works. Everything here is decided through work and reputation — achieve something out there and your bearing changes with it. When the work fails you shrink in front of everyone."
"sun","1","mars","11","Излизате смело, но тръгвате с гръб от своите хора. Приятели, група, обща кауза — там намирате смелостта да сте себе си. Сам човек тук се уморява много по-бързо.","You step out boldly, but you do it with your people behind you. Friends, a group, a shared cause — that is where you find the nerve to be yourself. On your own here you tire far faster."
"sun","1","mars","12","Отвън изглеждате готови на всичко, а битката е вътрешна и никой не я вижда. Решава се на тихо и насаме, не пред публика. Затова ви е нужно време без никого — иначе излизате пред хората изхабени.","You look up for anything from the outside, while the fight is internal and nobody sees it. It gets settled quietly and alone, not in front of an audience. So you need time with nobody in it, or you meet people already worn out."
