"planet","house","ruler","ruler_house","bg","en"
"sun","1","sun","1","Вие управлявате собственото си излизане пред света и не се отчитате на никого за него. Това ви дава свобода, каквато малцина имат — и нито един коректив отвън, когато сгрешите посоката. Стоплите ли се, стопляте цялата стая; сбъркате ли, няма кой да ви спре навреме.","You govern your own arrival and answer to nobody for it. That is a freedom few people have, and it comes with no external correction when the direction is wrong. When you warm up the whole room warms with you; when you misjudge it, nobody stops you in time."
"sun","1","moon","1","Как ще ви видят зависи от настроението ви в момента, а то се чете по лицето. В добър ден сте отворени и топли, в лош се затваряте, без да обяснявате. Тук няма нищо външно да ви подпира — сами се носите.","How you are seen depends on your mood at that moment, and it shows on your face. On a good day you are open and warm; on a bad one you close up without explaining. Nothing outside holds you steady here — you carry yourself."
"sun","1","moon","2","Излизате пред хората според това дали се чувствате сигурни, а сигурността ви е материална: пари, дом, познати неща. Тънко ли е, ставате предпазливи и по-тихи. Оправите ли основата, се отпускате и се показвате.","You show up according to whether you feel safe, and safety for you is material: money, a home, familiar things. When it is thin you go cautious and quiet. Fix the base and you relax into view."
"sun","1","moon","3","Настроението ви идва от разговорите наоколо — кой какво е казал, кой не се е обадил. Затова и лицето ви пред света се мени с деня. Стабилизирате се, като говорите с хора, на които вярвате.","Your mood comes from the talk around you — who said what, who did not call. So the face you show the world shifts with the day. What steadies you is talking to people you trust."
"sun","1","moon","4","Домът решава всичко. Спокойно ли е у вас, излизате отворени и уверени; напрегнато ли е, се свивате и хората го усещат веднага. Тук първо се оправя семейството, после външният свят.","Home decides everything. Calm indoors and you step out open and sure; tense indoors and you shrink, and people notice at once. Here you settle the family first and the outside world second."
"sun","1","moon","5","Оживявате, когато има радост, деца или нещо, което правите за удоволствие. Тогава ви е леко и хората ви търсят. Без това ставате мрачни и се затваряте, макар да не си признавате.","You come alive when there is joy, children, or something made for pleasure. Then you are easy and people seek you out. Without it you go dark and withdraw, whatever you tell yourself."
"sun","1","moon","6","Как се чувствате зависи от режима и от тялото. Наспите ли се, светите; заработите ли се, лицето ви казва всичко преди вас. Малките ежедневни неща ви държат — не големите решения.","How you feel rests on routine and on the body. Sleep well and you shine; overwork and your face says it before you do. The small daily things carry you, not the big decisions."
"sun","1","moon","7","Излизате според това как е с най-близкия човек. Добре ли сте с него, светите; скарате ли се, се вижда от километър. Затова тук сам не се стабилизирате — трябва ви някой отсреща.","You come out according to how things are with the closest person. Good with them and you glow; a quarrel and it is visible from a distance. You do not steady yourself alone here."
"sun","1","moon","8","Настроението ви е дълбоко и не се вижда цялото. Опира до доверие, до общи пари, до неща, които не се изричат. Изчисти ли се това, си отпускате раменете и излизате свободно.","Your mood runs deep and never shows in full. It comes down to trust, shared money, things left unsaid. Clear that and your shoulders drop and you step out freely."
"sun","1","moon","9","Стабилни сте, докато има накъде да гледате: път, учене, вяра, нещо по-голямо. Затворите ли се в едно и също, ставате неспокойни и капризни. Простор — и лицето ви се изглажда.","You are steady while there is somewhere to look: travel, study, a belief, something larger. Shut into sameness you turn restless and moody. Give it room and the face smooths out."
"sun","1","moon","10","Настроението ви върви с работата и с това как ви приемат отвън. Признаят ли ви, сте отворени; премълчат ли ви, се затваряте. Тук личното и професионалното не се разделят.","Your mood tracks your work and how you are received outside. Recognised, you open up; passed over, you close. The private and the professional do not separate here."
"sun","1","moon","11","Стабилизирате се сред своите хора. Има ли компания и обща кауза, сте топли и достъпни; останете ли сами, унивате по-бързо, отколкото очаквате. Приятелите ви са буквално режим.","You steady yourself among your own people. With company and a shared cause you are warm and reachable; alone you sink faster than you expect. Your friends are, literally, your routine."
"sun","1","moon","12","Настроението ви идва отвътре и почти не се обяснява. Имате нужда от тишина и от време без никого, за да се съберете. Пропуснете ли го, излизате пред хората изхабени и раздразнителни.","Your mood comes from somewhere inside and barely explains itself. You need quiet and time with nobody in it to gather yourself. Skip that and you meet people already worn out and short-tempered."
"sun","1","mercury","12","Как ви виждат зависи от мисли, които не изричате. Обмисляте наум, дълго и насаме, а после излизате с готово решение — хората виждат само края. Затова ви смятат за по-затворени, отколкото сте.","How you are seen rests on thinking you never say out loud. You work it through privately and at length, then arrive with the conclusion, so people only see the end of it. That is why you read as more closed than you are."
"sun","1","mercury","1","Мислите на глас и хората ви познават по начина, по който говорите. Тук умът ви е и визитката, и оръжието — сам решавате как да се представите. Затова понякога говорите преди да сте премислили.","You think out loud and people know you by how you speak. Your mind is both the calling card and the weapon here, and you decide alone how to present it. Which is why the words sometimes arrive ahead of the thought."
"sun","1","mercury","2","Как излизате пред хората се решава практично: колко струва, изплаща ли се, има ли смисъл да се говори. Умът ви работи по сметка, не по настроение. Затова ви приемат за трезви — и обикновено сте.","How you appear gets decided practically: what it costs, whether it pays, whether it is worth saying. Your mind runs on arithmetic rather than mood. People read you as level-headed, and usually they are right."
