"planet","house","ruler","ruler_house","bg","en"
"neptune","11","sun","1","Виждате в приятелите си най-доброто и после се разочаровате от разликата. Кръгът ви е избран по усещане. Тук е добре да проверявате хората в действие.","You see the best in your friends and then the difference disappoints you. Your circle was chosen by feeling. Better here to check people in action."
"neptune","11","sun","2","Общите начинания ви носят, ако са ясни, а те рядко са. Влагате пари в идея и в човек наведнъж. Уговаряйте дяловете писмено.","Shared ventures pay you when they are clear, and they rarely are. You invest in an idea and a person at once. Put the shares in writing."
"neptune","11","sun","3","Свързвате хора и после не помните кой какво е обещал. Един разговор води до пет уговорки. Записвайте ги.","You connect people and then cannot remember who promised what. One conversation leads to five arrangements. Write them down."
"neptune","11","sun","4","Приятелите ви влизат вкъщи и стават семейство. Домът ви е приют за кръга. Само не всеки трябва да остава.","Your friends come into the house and become family. Your home is a shelter for the circle. But not everybody has to stay."
"neptune","11","sun","5","Сред своите се разтваряте и там ви е весело. Компанията ви носи вдъхновение. Пазете едно нещо само за себе си.","Among your own you dissolve and there you are cheerful. The crowd brings you inspiration. Keep one thing for yourself alone."
"neptune","11","sun","6","Работата ви събира кръг от хора с обща цел. Помагате им извън договора. Кажете колко часа можете.","Your work gathers a circle of people with a shared aim. You help them beyond the contract. Say how many hours you can give."
"neptune","11","sun","7","Приятел ви става партньор и границата се размива. Не е ясно кога е станало. Кажете какво е, преди другите да решат.","A friend becomes a partner and the line blurs. It is not clear when it happened. Say what it is before the others decide."
"neptune","11","sun","8","Общите пари в кръга се държат на доверие и на нищо друго. Влизате заради хората. Уговаряйте, докато всички са добре.","The circle's shared money runs on trust and nothing else. You go in for the people. Put it in writing while everybody is still fine."
"neptune","11","sun","9","Хората, които ви отварят света, идват отдалеч. Кръгът ви е разпръснат и обединен от идея. Едно познанство струва година учене.","The people who open the world for you come from far away. Your circle is scattered and held together by an idea. One acquaintance is worth a year of study."
"neptune","11","sun","10","Кръгът ви работи за името ви и вие му връщате. Един познат ви мести напред. Не гледайте на хората като на стъпала.","Your circle works for your name and you give back to it. One acquaintance moves you forward. Do not look at people as steps."
"neptune","11","sun","11","Тук всичко е на място: сред хора вие ставате повече от себе си. Каузите ви събират различни. Само не се загубете в общото.","Here everything sits in place: among people you become more than yourself. Your causes gather different sorts. Just do not get lost in the collective."
"neptune","11","sun","12","Част от кръга ви не се вижда: хора, с които говорите, без някой да знае. Помагате им и не искате да се разчува. Кажете на един от тях какво значи за вас.","Part of your circle is invisible: people you talk to without anybody knowing. You help them and want it kept quiet. Tell one of them what it means to you."
"neptune","11","moon","1","Настроението на групата влиза в вас и излиза като ваше. Сред добри хора светите, сред кисели изчезвате. Изберете кръга внимателно.","The group's mood gets into you and comes out as your own. Among good people you light up; among sour ones you vanish. Choose the circle carefully."
"neptune","11","moon","2","Помагате на приятели с пари и после не питате. Общите разходи ви влизат под кожата. Кажете сумата рано.","You help friends with money and then never ask about it. Shared costs get under your skin. Name the amount early."
"neptune","11","moon","3","Кръгът ви е близък и вие поемате всяко негово настроение. Един разговор ви държи буден. Затворете телефона за вечер.","Your circle is close and you absorb every mood it has. One conversation keeps you awake. Turn the phone off for an evening."
"neptune","11","moon","4","Приятелите ви са като роднини и вие се грижите за тях. Домът ви е техният приют. Пазете една вечер за себе си.","Your friends are like relatives and you look after them. Your home is their shelter. Keep one evening for yourself."
"neptune","11","moon","5","Сред своите ви е весело и там се влюбвате. Компанията ви носи настроение и посока. Сменят ли се хората, се сменя и радостта.","Among your own you are cheerful and that is where you fall in love. The crowd brings you mood and direction. When the people change, so does the gladness."
"neptune","11","moon","6","Помагате практично и после нямате сила за себе си. В екипа сте този, който върши. Кажете кога сте свършили.","You help practically and then have no strength for yourself. In the team you are the one who does it. Say when you have finished."
"neptune","11","moon","7","Един приятел ви е по-близък от роднина и настроението ви следва неговото. Границата между вас е тънка. Кажете какво ви трябва.","One friend is closer to you than a relative and your mood follows theirs. The line between you is thin. Say what you need."
"neptune","11","moon","8","Приятелите ви поверяват тежките си неща и вие ги носите. Общите пари ви държат нащрек. Кажете и своята тревога.","Your friends entrust you with their heavy things and you carry them. Shared money keeps you on edge. Say your own worry too."
"neptune","11","moon","9","Кръгът ви е от различни места и това ви храни. Обичате да гостувате. Тесният кръг ви задушава.","Your circle comes from different places and it feeds you. You like visiting. A narrow circle stifles you."
"neptune","11","moon","10","Пазите репутацията на своите като своя и се тревожите за нея. Кръгът ви влиза в работата. Имайте и приятел извън всичко това.","You protect your people's reputation as your own and worry about it. Your circle gets into the work. Keep a friend outside all of it."
"neptune","11","moon","11","Настроението ви е общото настроение и вие рядко забелязвате разликата. Един ден групата е дом, друг ден е тежест. Проверявайте чие е усещането.","Your mood is the group's mood and you rarely notice the difference. One day the group is home, the next it is a weight. Check whose feeling it is."
"neptune","11","moon","12","Имате приятел, с когото мълчите добре, и това ви стига. Помагате, без да разказвате. Приемете и вие помощ.","You have a friend with whom silence is comfortable, and that is enough. You help without telling anybody. Accept help yourself too."
